pktloss,kex_alg,min,25pct,median,95pct,max
0,p256-frodo640aes,396.1587,397.38262499999996,398.35159999999996,402.16690499999993,406.5306
0.5,p256-frodo640aes,396.1609,397.558,398.59680000000003,595.335975,2443.5246
1,p256-frodo640aes,396.1765,397.650075,398.59405000000004,855.77097,2810.0245
1.5,p256-frodo640aes,396.1964,397.59415,398.66594999999995,1192.3954700000002,2540.3808
2,p256-frodo640aes,396.1676,397.738275,398.73105,1403.41491,5855.1058
2.5,p256-frodo640aes,396.1304,397.57247500000005,398.6642,1268.5560049999983,3735.9964
3,p256-frodo640aes,396.164,397.846825,398.99649999999997,1458.369805,4641.0148
4,p256-frodo640aes,396.145,398.040175,399.3393,1659.552029999999,6823.3298
5,p256-frodo640aes,396.1662,398.37137499999994,399.79445,2004.6137149999997,11115.5331
6,p256-frodo640aes,396.2594,398.56039999999996,400.45124999999996,2048.0226799999996,5909.551
7,p256-frodo640aes,396.1735,398.902125,595.8521499999999,2452.83148,14144.7003
8,p256-frodo640aes,396.2719,399.15225,790.59845,2523.18133,57428.6088
9,p256-frodo640aes,396.3411,399.239,851.0038,2824.274555,12551.7202
10,p256-frodo640aes,396.3664,399.78297499999996,853.42735,3030.642114999999,22643.4875
11,p256-frodo640aes,396.1599,400.3956,1046.75705,3932.8594249999983,36545.4821
12,p256-frodo640aes,396.2119,592.768525,1190.0917,4024.892984999994,25822.368
13,p256-frodo640aes,396.4813,594.424625,1206.3895499999999,4643.192424999999,76390.5919
14,p256-frodo640aes,396.1335,595.019575,1304.55745,5095.710749999998,41265.4666
15,p256-frodo640aes,396.7153,790.125825,1415.9814000000001,5887.24078,120355.4036
16,p256-frodo640aes,396.7065,852.110975,1459.4571999999998,6851.534229999999,351927.3705
17,p256-frodo640aes,396.3983,853.617525,1643.8544,9810.596044999998,97165.9301
18,p256-frodo640aes,396.7495,986.1204499999999,1827.72185,9050.996569999994,154797.3551
19,p256-frodo640aes,396.5236,1107.888375,1857.1486,11057.743969999994,667484.6439
20,p256-frodo640aes,396.454,1196.3035249999998,2002.9960999999998,12483.79853,279641.906
21,p256-frodo640aes,396.9284,1243.38145,2062.2541,12974.696239999996,297303.6497
22,p256-frodo640aes,396.5437,1410.985925,2464.0037,19252.50504499999,758075.0233
23,p256-frodo640aes,396.7432,1408.358225,2583.3075,20544.185109999984,959038.9554
