pktloss,kex_alg,min,25pct,median,95pct,max
0,p256-sikep434,451.2349,452.732625,454.642,486.5326749999999,563.3805
0.5,p256-sikep434,451.27,452.719825,454.09389999999996,489.02409,1484.2917
1,p256-sikep434,451.267,453.213925,455.1684,497.63651999999996,1502.8926
1.5,p256-sikep434,451.2279,453.67577500000004,455.2423,510.869385,3483.4085
2,p256-sikep434,451.3059,453.4597,455.29185,1065.2965249999997,4320.6182
2.5,p256-sikep434,451.3326,453.27250000000004,455.05944999999997,1071.80686,3486.0631
3,p256-sikep434,451.3514,453.1727,455.08015,1456.27063,4411.2568
4,p256-sikep434,451.3392,453.749275,455.48915,1467.41942,6450.696
5,p256-sikep434,451.4409,453.96659999999997,455.67185,1478.143615,7707.6504
6,p256-sikep434,451.3443,453.56515,455.60389999999995,1483.28209,8175.6612
7,p256-sikep434,451.2355,453.19095,455.0489,1483.6608199999998,7937.5965
8,p256-sikep434,451.3357,453.831875,455.81854999999996,1500.6641549999997,7508.925
9,p256-sikep434,451.4169,454.485675,456.57335,1677.866925,8025.6758
10,p256-sikep434,451.5214,454.51005,456.99604999999997,2099.102825,15704.7149
11,p256-sikep434,451.3017,454.3278,456.78035,2085.160145,8660.1268
12,p256-sikep434,451.4303,453.9797,457.29525,2525.4298549999926,15613.1966
13,p256-sikep434,451.3822,454.09299999999996,457.05475,2840.47447,12790.8656
14,p256-sikep434,451.4609,454.18905000000007,458.19719999999995,3310.460929999993,16565.6609
15,p256-sikep434,451.5363,454.417175,462.86535,3489.5501050000003,15920.0483
16,p256-sikep434,451.5489,455.1306,511.6854,3910.897574999992,73973.7006
17,p256-sikep434,451.4395,455.112075,1049.48895,3911.8255849999937,31002.859
18,p256-sikep434,451.3785,454.9185,1052.69915,4231.3362449999995,21786.4891
19,p256-sikep434,451.4953,455.3944,1056.026,4506.73352,30710.2829
20,p256-sikep434,451.6267,456.23539999999997,1059.94805,4284.1552950000005,30300.0272
21,p256-sikep434,451.4601,455.71925,1062.2847000000002,5178.987895,45037.7578
22,p256-sikep434,451.6179,456.215825,1073.71335,5304.588025,50531.7867
23,p256-sikep434,451.8889,456.27822499999996,1074.0936000000002,5890.85977,36505.3967
