pktloss,kex_alg,min,25pct,median,95pct,max
0,prime256v1,392.0174,392.734375,392.99739999999997,393.701345,394.7335
0.5,prime256v1,391.97,392.83365,393.1318,394.026805,3423.4763
1,prime256v1,392.0963,392.80655,393.0691,394.20835,1616.839
1.5,prime256v1,391.9949,392.749775,393.0022,984.0673099999999,1590.4252
2,prime256v1,392.0938,392.874225,393.1005,1008.2566800000001,2623.9491
2.5,prime256v1,392.2378,392.897925,393.11745,1397.9097299999999,4205.7816
3,prime256v1,392.0364,392.886575,393.12825,1398.9083999999998,4175.3459
4,prime256v1,391.991,392.878625,393.10985,1408.5910600000002,4141.0682
5,prime256v1,392.205,392.85902500000003,393.07855,1411.92526,4192.2727
6,prime256v1,391.9673,392.67165,393.0005,1413.8923450000002,4375.8398
7,prime256v1,392.0405,392.89549999999997,393.16205,1422.6292549999998,7629.318
8,prime256v1,392.1783,392.89862500000004,393.17395,1420.9868999999999,8085.1991
9,prime256v1,391.9931,392.915225,393.22860000000003,1629.6544349999922,11213.6188
10,prime256v1,392.149,392.98815,393.29495,2015.748315,10268.514
11,prime256v1,392.1912,392.997075,393.3269,2019.62503,9222.1319
12,prime256v1,392.1005,392.95332499999995,393.33995,2433.42001,20354.2195
13,prime256v1,392.0207,393.05935,393.4629,3423.8034700000003,15470.7783
14,prime256v1,392.0424,393.082675,393.46365000000003,3429.96171,29968.7566
15,prime256v1,392.286,393.098925,393.8566,3435.06858,33436.286
16,prime256v1,392.2098,393.1021,393.6009,3428.0236950000003,21534.8844
17,prime256v1,392.2293,393.10277499999995,986.82155,4093.53957,39611.257
18,prime256v1,392.1633,393.20197499999995,988.0839000000001,4187.458575,61404.0247
19,prime256v1,392.1345,393.250175,991.6556,4290.14716,30042.1145
20,prime256v1,392.2744,393.184975,992.02595,4870.149189999995,25918.7101
21,prime256v1,392.319,393.26845000000003,995.01605,5090.52164,46227.9072
22,prime256v1,392.229,393.299525,1005.7993,5061.040854999998,23398.2357
23,prime256v1,392.198,393.29499999999996,1013.35785,5413.20046499999,42317.5876
