pktloss,percent025,percent0375,percent05,percent0625,percent075,percent085,percent095
0.0,158.58875,158.7723625,158.94305,159.112175,159.32152499999998,159.540615,159.99624
0.1,158.459925,158.63015000000001,158.7819,158.9301375,159.1074,159.290835,159.695905
0.5,158.341275,158.473325,158.60685,158.7470375,158.9306,159.11352,159.55572
1.0,158.37285,158.4931,158.613,158.7552,158.94052499999998,159.15980499999998,268.627625
1.5,158.390825,158.5071,158.62905,158.77707500000002,158.99427500000002,159.22607499999998,484.908235
2.0,158.394275,158.519725,158.6475,158.806675,159.031375,159.30986000000001,549.034935
2.5,158.414525,158.5351625,158.6642,158.8284375,159.07795,159.435985,1159.33476
3.0,158.403775,158.5379625,158.6744,158.8569,159.11347500000002,268.54105500000003,1171.172495
4.0,158.448525,158.58286249999998,158.7286,158.9242875,159.24107500000002,427.77160499999957,1179.665405
5.0,158.463425,158.6126625,158.79305,159.04817500000001,267.606725,540.4225549999996,1292.0408100000006
6.0,158.522375,158.6862625,158.8727,159.1544,315.76112500000005,664.0273499999897,1325.5590049999998
7.0,158.554725,158.7313875,158.9583,159.3754375,487.0295,980.5315799999989,1338.2668500000002
8.0,158.58465,158.7633625,159.0441,267.133275,530.4139,1162.55045,1490.335035
9.0,158.633325,158.82016249999998,159.13825,315.41258750000003,563.7435249999999,1171.1788399999998,1662.190745
10.0,158.67837500000002,158.901525,159.25549999999998,316.4873625,702.6669999999999,1184.54819,1786.6878550000008
11.0,158.695875,158.96061250000002,161.33425,486.577025,785.502675,1288.64381,2175.9309900000003
12.0,158.75775000000002,159.096425,268.9586,536.3357375,1160.419425,1322.22906,2290.0502950000014
13.0,158.80942499999998,159.14746250000002,315.64340000000004,546.7249875,1164.6628249999999,1339.5400499999998,2701.130650000001
14.0,158.848925,159.21927499999998,344.83265,603.650875,1172.250525,1421.1529449999985,3195.848875000001
15.0,158.88725000000002,159.4970875,484.8895,696.3345375,1183.7716750000002,1545.061145,3207.483785000004
16.0,158.952475,266.8212625,521.57035,771.006875,1254.9252000000001,1697.047455,3612.7186700000025
17.0,159.034775,268.17969999999997,536.82705,982.5599500000001,1323.973225,1809.534579999999,3835.19556
18.0,159.15570000000002,316.26115000000004,603.4165499999999,1163.5820875,1423.7479750000002,2187.3982899999996,4405.151000000001
19.0,159.18647499999997,346.44735000000003,637.7645,1168.2754375,1536.72635,2314.548715,4390.549015
20.0,159.34805,486.7946375,708.4552,1184.2627,1638.974625,2633.3099949999996,5020.543505000004
