pktloss,min,25pct,median,95pct,max
0,316.5798,317.176525,317.37925,320.34789,326.4714
0.1,316.6732,317.114925,317.32755,320.51697500000006,1564.872
0.5,316.528,317.03495,317.22720000000004,474.18260000000004,1572.6142
1,316.6097,317.079775,317.3112,552.8777699999999,3342.3112
1.5,316.6204,317.08000000000004,317.3734,676.5783449999998,5001.0826
2,316.6389,317.116725,317.6701,776.6530249999998,3335.7802
2.5,316.626,317.1275,318.89615000000003,1318.7216949999997,4156.9219
3,316.5823,317.159725,395.29975,1325.1340599999999,5282.6299
4,316.6806,317.4276,395.92355,1415.48119,5265.7641
5,316.6581,319.0926,396.9181,1633.5454699999998,9180.7678
6,316.6253,395.41209999999995,474.09405000000004,1794.1314299999997,7938.3987
7,316.6509,395.685425,475.34450000000004,1837.1757249999928,7615.4617
8,316.7096,395.993225,552.8318,2158.457404999995,11252.8149
9,316.6629,396.830075,621.5974,2595.8334749999995,10311.4176
10,316.7187,407.955925,684.4092,2688.441404999991,18461.928
11,316.7381,474.3928,724.0007499999999,3333.031109999999,19578.2898
12,316.7192,475.4469,781.54565,3623.9181949999993,40114.781
13,316.7483,552.4306,847.45585,3716.1022949999997,12810.9258
14,316.8166,565.91695,930.8792000000001,4475.28988,17362.9542
15,316.8057,631.49475,1022.2849,5038.5156099999995,32797.7353
16,316.8511,660.6710250000001,1133.95355,6133.227999999985,59535.7885
17,316.8437,741.4299250000001,1325.7550999999999,6901.226389999999,390682.2398
18,316.7519,828.7124,1508.4787000000001,7608.4114949999985,272583.3074
19,316.9236,864.1962249999999,1642.2694999999999,9386.240114999988,357011.7463
20,317.0176,945.686875,1764.3382000000001,11413.617629999959,735167.2679
