pktloss,min,25pct,median,95pct,max
0,588.0342,588.3499750000001,588.4787,590.39047,597.564
0.1,587.9597,588.3279,588.4661000000001,590.76588,2009.2148
0.5,587.9445,588.263275,588.393,783.089275,3630.1563
1,587.9583,588.2685,588.41915,1040.062755,4708.7213
1.5,587.9786,588.307025,588.45655,1213.8122149999517,3311.8312
2,587.9456,588.2973000000001,588.4582,1552.9962649999954,4771.3675
2.5,587.9359,588.3004500000001,588.4616,1591.1977449999997,5032.9805
3,587.9885,588.32465,588.51205,1614.1323049999994,4807.159
4,587.9453,588.3351,588.55445,1965.2146949999997,8726.2994
5,587.9543,588.3520249999999,588.6301000000001,1998.68475,5308.8582
6,587.965,588.387125,588.8833999999999,2051.256659999995,9516.1786
7,587.9408,588.403625,783.2779499999999,2410.7794699999977,7573.7501
8,588.0083,588.4940750000001,783.91905,2789.34817,11655.7896
9,588.0302,588.5154249999999,784.07725,2940.7961649999993,8987.2467
10,587.9471,588.6171,784.2858,3246.791119999999,16817.0342
11,588.0177,588.681375,791.5825,3619.4149349999993,13350.5706
12,587.9596,588.943575,979.6350500000001,3880.214199999995,30608.4835
13,588.0066,783.264825,1040.92885,4168.8438549999955,79385.2502
14,588.0631,783.904975,1186.3627999999999,4989.011565,61312.7045
15,587.9588,783.98755,1377.4687,5151.348744999999,122921.2601
16,588.0992,784.1006,1401.2273,5544.234389999997,133851.9193
17,588.0825,784.120375,1402.18985,5922.036659999995,274265.7389
18,587.9908,784.296825,1585.59235,7228.166469999987,169367.2147
19,587.9856,785.3744,1619.46215,8129.244264999993,794207.0382
20,588.1238,979.5145,1789.8894500000001,8988.227144999993,411966.6436
