pktloss,kex_alg,min,25pct,median,95pct,max
0,p256-frodo640aes,67.0331,67.720875,68.56395,71.60318500000001,75.8404
0.5,p256-frodo640aes,66.9869,67.66725,68.44720000000001,98.96895999999998,1177.6769
1,p256-frodo640aes,66.992,67.651575,68.56225,152.397375,2181.9462
1.5,p256-frodo640aes,66.9926,67.73407499999999,68.70339999999999,178.30037999999877,2365.012
2,p256-frodo640aes,66.9961,67.639725,68.3167,335.27817,1920.9311
2.5,p256-frodo640aes,67.0211,67.69697500000001,68.5547,1070.852665,4178.5437
3,p256-frodo640aes,67.0051,68.133175,69.24029999999999,1068.370285,2398.0655
4,p256-frodo640aes,66.992,68.396825,69.84355,1082.234485,3263.4821
5,p256-frodo640aes,67.0232,68.62885,70.56389999999999,1092.965,5168.0752
6,p256-frodo640aes,67.0798,68.3002,98.38345000000001,1169.626025,19042.1537
7,p256-frodo640aes,67.0821,68.912275,101.34635,1208.1829899999993,10465.2197
8,p256-frodo640aes,67.1001,69.68475,147.88615,1353.9479349999997,11373.9634
9,p256-frodo640aes,67.1528,69.5411,149.50495,1433.7970299999995,32301.3944
10,p256-frodo640aes,67.1887,69.804725,150.4364,1446.4324649999999,37610.8429
11,p256-frodo640aes,67.1202,70.835375,176.64745,1907.1849599999994,11416.8959
12,p256-frodo640aes,67.074,71.151275,205.53855,2097.5168899999994,24168.9247
13,p256-frodo640aes,67.1526,112.13445,333.78655000000003,2956.212899999991,44133.3517
14,p256-frodo640aes,67.3152,119.059475,336.4715,3396.7495099999965,96044.971
15,p256-frodo640aes,67.1678,148.151975,388.04544999999996,4034.805984999999,100071.8626
16,p256-frodo640aes,66.0563,128.6945,381.95145,3560.9611899999995,256953.1176
17,p256-frodo640aes,66.1564,130.353125,428.58889999999997,4676.192039999989,134982.472
18,p256-frodo640aes,66.1932,148.174275,450.272,4959.09638499997,751830.9793
19,p256-frodo640aes,66.1318,179.71465,651.9091,7423.881474999991,306328.2952
20,p256-frodo640aes,66.2118,204.314425,734.625,7245.201139999993,451400.5555
21,p256-frodo640aes,67.7501,332.7049,876.20745,10625.602044999972,609686.6857
22,p256-frodo640aes,67.659,355.71085,1068.7319,11031.842744999998,314035.1441
23,p256-frodo640aes,67.3775,387.20392499999997,1139.9811,12703.420909999997,316084.5044
