pktloss,kex_alg,min,25pct,median,95pct,max
0,p256-kyber512_90s,158.2764,159.136625,159.4413,160.39083499999998,161.8928
0.5,p256-kyber512_90s,158.1549,158.976175,159.3471,160.50315,1257.5246
1,p256-kyber512_90s,158.2914,159.030475,159.3342,160.967875,2202.1138
1.5,p256-kyber512_90s,158.2058,158.735875,159.07085,521.008015,2254.0595
2,p256-kyber512_90s,158.2718,158.902725,159.192,612.255105,3193.4561
2.5,p256-kyber512_90s,158.3201,159.03315,159.28425,1159.4171000000001,3205.701
3,p256-kyber512_90s,158.2091,158.954375,159.21495,1171.5909350000002,3761.2949
4,p256-kyber512_90s,158.3214,159.08912500000002,159.34199999999998,1184.1391700000001,3640.4108
5,p256-kyber512_90s,158.2912,159.09754999999998,159.3801,1189.27125,3809.002
6,p256-kyber512_90s,158.2864,159.08425,159.40375,1246.41043,4212.8418
7,p256-kyber512_90s,158.4274,159.196275,159.45135,1248.996595,7240.5098
8,p256-kyber512_90s,158.2989,159.119375,159.42225000000002,1259.72698,7255.5926
9,p256-kyber512_90s,158.3838,159.245575,159.541,1536.393645,16839.1001
10,p256-kyber512_90s,158.2805,159.028775,159.43215,1536.425305,8665.1439
11,p256-kyber512_90s,158.2242,159.23815000000002,159.5892,1814.0717049999903,9742.1902
12,p256-kyber512_90s,158.3026,159.27700000000002,159.69355000000002,2399.9564699999924,15607.6192
13,p256-kyber512_90s,158.3541,159.269575,159.68195,2659.4391999999984,19358.8443
14,p256-kyber512_90s,158.4392,159.368325,159.9108,2794.7559449999985,14101.8848
15,p256-kyber512_90s,158.0062,158.39915000000002,158.82515,3203.9882449999996,44494.775
16,p256-kyber512_90s,157.9909,158.39325,407.07045,3550.599804999999,26961.1189
17,p256-kyber512_90s,158.0124,158.411,519.2715499999999,3833.6923049999996,31693.402
18,p256-kyber512_90s,157.9916,158.40432500000003,525.0331,3660.3654749999964,35737.0871
19,p256-kyber512_90s,158.0358,158.463775,536.3379,3731.1378899999995,27399.9658
20,p256-kyber512_90s,158.0402,158.5169,542.30345,4493.672684999977,40657.2657
21,p256-kyber512_90s,158.528,159.583825,625.9873,4628.259844999999,43615.6212
22,p256-kyber512_90s,158.5133,159.606675,774.75785,6340.464029999999,59108.2448
23,p256-kyber512_90s,158.3712,159.65957500000002,720.7471,6891.279844999997,74888.7808
