pktloss,kex_alg,min,25pct,median,95pct,max
0,prime256v1,157.9928,158.80697500000002,159.10264999999998,159.94409000000002,161.2208
0.5,prime256v1,157.9535,158.6963,159.0013,159.99277,1185.5638
1,prime256v1,158.0469,158.741075,159.0196,160.20408999999998,1189.8958
1.5,prime256v1,157.9979,158.6326,158.90125,474.34236,3825.5417
2,prime256v1,158.0048,158.655375,158.95915,477.07084,3610.215
2.5,prime256v1,158.0285,158.7068,158.9986,547.02497,3739.0574
3,prime256v1,158.0833,158.787,159.0553,1163.08408,3549.7689
4,prime256v1,158.0687,158.741425,159.0494,1167.5501399999998,4744.811
5,prime256v1,158.1063,158.76895000000002,159.07315,1176.6492700000001,4107.8091
6,prime256v1,158.008,158.72705000000002,159.0577,1180.7658350000002,3781.331
7,prime256v1,158.0392,158.78382499999998,159.11685,1182.8412300000002,13547.9144
8,prime256v1,157.9469,158.8389,159.1876,1188.39655,7596.7186
9,prime256v1,157.9367,158.63675,159.08935,1188.755895,9833.2079
10,prime256v1,157.9946,158.851975,159.22025000000002,1482.06456,8161.0785
11,prime256v1,158.1295,158.93467499999997,159.27195,1541.77942,6985.4756
12,prime256v1,158.1187,158.985225,159.35424999999998,2184.379195,7439.9008
13,prime256v1,158.0857,158.95649999999998,159.3416,2346.2016249999992,9767.7321
14,prime256v1,158.2066,159.0474,159.4905,2608.4570649999873,10873.1713
15,prime256v1,157.829,158.175425,158.5565,3182.6741549999997,33840.1356
16,prime256v1,157.8355,158.169825,159.1501,3200.161545,16860.254
17,prime256v1,157.8092,158.26925,447.91125,3476.430409999999,35168.4562
18,prime256v1,157.7692,158.225775,457.52175,3682.590014999998,55225.8407
19,prime256v1,157.8481,158.2759,457.73575,3655.6983349999996,45424.6276
20,prime256v1,157.8449,158.30545,519.9857999999999,3765.7170849999957,19857.9177
21,prime256v1,158.1824,159.24310000000003,519.1117999999999,3795.2411349999984,38325.414
22,prime256v1,158.2907,159.2977,536.7862,4992.821529999999,46271.2085
23,prime256v1,158.1818,159.329075,544.3321000000001,4741.174914999999,106848.6494
