pktloss,min,25pct,median,95pct,max
0,392.0324,392.45115,392.74739999999997,394.2322449999999,397.2553
0.1,392.0096,392.416675,392.66814999999997,394.16531000000003,1809.0148
0.5,392.0583,392.45270000000005,392.7235,394.28822,1810.043
1,392.0073,392.377075,392.59585,646.0590999999993,2599.5765
1.5,392.0504,392.38635,392.61969999999997,997.6315249999996,2274.7177
2,392.0426,392.40657500000003,392.63805,1211.4640749999994,7485.7928
2.5,392.0582,392.429225,392.6999,1400.7421649999994,4019.1838
3,392.0324,392.4235,392.66515000000004,1418.83234,5594.1272
4,392.0535,392.417825,392.6898,1612.3412249999988,5288.9784
5,392.0312,392.4571,392.75885,1792.5178799999999,20182.034
6,392.0415,392.45265,392.80690000000004,1810.0905500000001,10446.3795
7,392.0532,392.511975,392.92895,2053.9588649999982,10646.672
8,392.0102,392.53635,393.12379999999996,2236.581564999996,8769.4328
9,392.0486,392.52932500000003,393.22165,2441.3512999999994,9848.0828
10,392.0853,392.563125,393.50155,2607.180499999999,11707.6183
11,392.0205,392.61945,394.57025,2830.323624999999,19952.6793
12,392.0531,392.6485,649.8111,3227.330899999998,14145.1129
13,392.0443,392.66755,783.62475,3680.5551399999968,22584.6426
14,392.0772,392.692175,784.3145,3805.8244999999993,26815.5846
15,392.0472,392.765825,990.4327000000001,4254.4840449999965,21476.6241
16,392.0574,392.8063,997.97285,5020.6955349999935,44199.0251
17,392.1137,392.891225,1207.3155000000002,5207.615729999993,51705.9148
18,392.1132,393.1306000000001,1263.29095,5878.195529999988,79765.5531
19,392.0818,393.12177499999996,1271.9137500000002,6249.200109999989,175935.6072
20,391.9884,393.61389999999994,1405.07125,7137.645284999991,187551.0367
