pktloss,min,25pct,median,95pct,max
0,24.5632,25.568975000000002,26.55625,31.467974999999996,41.1207
0.1,24.3451,25.463949999999997,25.7569,30.350469999999998,1068.6114
0.5,24.3771,25.39495,25.6396,33.716394999999984,1063.6798
1,24.3938,25.2479,25.5346,46.860054999999996,1277.3185
1.5,24.4223,25.113500000000002,25.4357,70.13077499999999,3521.786
2,24.3613,25.013675,25.39575,252.09283499999938,3072.9545
2.5,24.3043,24.975625,25.399,1032.5370399999997,3488.6372
3,24.2788,24.9741,25.54325,1031.4680049999997,3058.6922
4,24.2787,24.928475,25.9595,1051.84508,3513.374
5,24.291,24.912025,30.1597,1057.1846249999999,3797.7462
6,24.3855,24.986099999999997,32.31905,1071.17075,8132.1642
7,24.3258,25.046525000000003,35.48994999999999,1083.732495,6489.4284
8,24.329,25.198275000000002,36.62705,1253.1724749999998,7903.9011
9,24.3113,25.968549999999997,41.1977,1286.9169099999997,13190.1089
10,24.3164,30.279525,47.02295,1410.1271049999968,8151.4673
11,24.3125,30.851825,52.73465,1644.1737149999963,14018.4512
12,24.3089,35.537299999999995,71.01455,2400.4072349999983,51426.2627
13,24.3455,35.87535,80.1597,3055.992324999999,16483.2384
14,24.2913,41.01955,246.22835,3195.508934999981,18619.2933
15,24.3775,41.336000000000006,254.5318,3500.1351849999974,273480.0938
16,24.4095,46.922275,273.4502,4233.468479999989,131303.8386
17,24.3895,53.474900000000005,298.29805,4025.7020449999977,408482.9051
18,24.3615,62.414249999999996,374.178,6344.515954999988,702579.0348
19,24.3722,71.585675,532.71775,7332.936349999995,153932.6862
20,24.5082,81.47045,759.5332000000001,8674.058929999997,872418.0863
