Percentage served,Time in ms
0,1231.656
1,1231.690
2,1231.764
3,1231.863
4,1232.358
5,1232.433
6,1232.649
7,1232.945
8,1234.261
9,1234.307
10,1234.333
11,1234.450
12,1234.476
13,1234.513
14,1234.519
15,1234.526
16,1234.598
17,1234.598
18,1234.601
19,1234.656
20,1234.657
21,1234.688
22,1234.760
23,1234.762
24,1234.762
25,1234.771
26,1234.920
27,1234.922
28,1234.990
29,1235.011
30,1235.080
31,1235.141
32,1235.396
33,1235.454
34,1235.517
35,1235.536
36,1235.561
37,1235.608
38,1235.625
39,1235.649
40,1235.693
41,1235.698
42,1235.724
43,1235.759
44,1235.761
45,1235.789
46,1235.827
47,1235.830
48,1235.831
49,1235.841
50,1235.919
51,1235.919
52,1235.932
53,1235.947
54,1235.955
55,1235.968
56,1236.072
57,1236.101
58,1236.109
59,1236.137
60,1236.169
61,1236.215
62,1236.247
63,1236.268
64,1236.282
65,1236.319
66,1236.324
67,1236.344
68,1236.519
69,1236.568
70,1236.635
71,1236.725
72,1236.871
73,1236.880
74,1236.924
75,1237.003
76,1237.049
77,1237.051
78,1237.060
79,1237.074
80,1237.150
81,1237.256
82,1237.257
83,1237.268
84,1237.268
85,1237.320
86,1237.354
87,1237.386
88,1237.419
89,1237.422
90,1237.456
91,1237.634
92,1237.727
93,1237.864
94,1238.321
95,1238.812
96,1239.216
97,1239.675
98,1239.765
99,1240.040
100,1240.040
