Percentage served,Time in ms
0,1984.637
1,1984.693
2,1984.693
3,1984.754
4,1984.754
5,1984.883
6,1984.934
7,1984.934
8,1985.049
9,1985.049
10,1985.156
11,1985.287
12,1985.287
13,1985.291
14,1985.334
15,1985.334
16,1985.424
17,1985.424
18,1985.569
19,1985.744
20,1985.744
21,1985.847
22,1985.847
23,1985.883
24,1986.134
25,1986.134
26,1986.321
27,1986.321
28,1986.422
29,1986.435
30,1986.435
31,1986.537
32,1986.663
33,1986.663
34,1986.942
35,1986.942
36,1988.377
37,1988.528
38,1988.528
39,1988.715
40,1988.715
41,1988.747
42,1988.840
43,1988.840
44,1989.015
45,1989.015
46,1989.078
47,1989.108
48,1989.108
49,1989.256
50,1989.307
51,1989.307
52,1989.325
53,1989.325
54,1989.544
55,1989.664
56,1989.664
57,1989.751
58,1989.751
59,1989.799
60,1989.801
61,1989.801
62,1989.827
63,1989.827
64,1989.860
65,1989.909
66,1989.909
67,1990.014
68,1990.014
69,1990.068
70,1990.081
71,1990.081
72,1990.194
73,1990.230
74,1990.230
75,1990.347
76,1990.347
77,1990.442
78,1990.454
79,1990.454
80,1990.509
81,1990.509
82,1990.549
83,1990.553
84,1990.553
85,1990.652
86,1990.652
87,1990.774
88,1990.784
89,1990.784
90,1990.848
91,1990.962
92,1990.962
93,1991.159
94,1991.159
95,1991.212
96,1991.723
97,1991.723
98,1996.323
99,1996.323
100,1996.323
