Percentage served,Time in ms
0,1987.070
1,1987.850
2,1987.850
3,1987.858
4,1987.858
5,1988.011
6,1988.031
7,1988.031
8,1988.047
9,1988.047
10,1988.057
11,1988.170
12,1988.170
13,1988.434
14,1988.502
15,1988.502
16,1988.539
17,1988.539
18,1988.761
19,1988.842
20,1988.842
21,1988.897
22,1988.897
23,1989.009
24,1989.033
25,1989.033
26,1989.111
27,1989.111
28,1989.126
29,1989.177
30,1989.177
31,1989.301
32,1989.751
33,1989.751
34,1989.875
35,1989.875
36,1989.927
37,1991.343
38,1991.343
39,1991.555
40,1991.555
41,1991.831
42,1991.939
43,1991.939
44,1991.988
45,1991.988
46,1992.295
47,1992.316
48,1992.316
49,1992.327
50,1992.518
51,1992.518
52,1992.642
53,1992.642
54,1992.693
55,1992.696
56,1992.696
57,1992.717
58,1992.717
59,1992.724
60,1992.792
61,1992.792
62,1992.873
63,1992.873
64,1992.890
65,1992.898
66,1992.898
67,1992.935
68,1992.935
69,1992.976
70,1992.980
71,1992.980
72,1993.158
73,1993.209
74,1993.209
75,1993.254
76,1993.254
77,1993.504
78,1993.565
79,1993.565
80,1993.574
81,1993.574
82,1993.672
83,1993.679
84,1993.679
85,1994.107
86,1994.107
87,1994.120
88,1994.122
89,1994.122
90,1994.386
91,1994.718
92,1994.718
93,1994.811
94,1994.811
95,1995.689
96,1995.802
97,1995.802
98,1996.800
99,1996.800
100,1996.800
