Percentage served,Time in ms
0,798.083
1,798.193
2,798.210
3,798.290
4,798.296
5,798.363
6,798.389
7,798.404
8,798.408
9,798.430
10,798.433
11,798.448
12,798.466
13,798.488
14,798.531
15,798.573
16,798.585
17,798.601
18,798.612
19,798.645
20,798.660
21,798.688
22,798.752
23,798.849
24,798.861
25,798.874
26,798.937
27,798.955
28,798.959
29,798.989
30,799.001
31,799.012
32,799.055
33,799.140
34,799.236
35,799.358
36,799.444
37,799.586
38,799.607
39,799.688
40,799.719
41,799.755
42,799.819
43,799.866
44,799.903
45,799.942
46,799.952
47,799.966
48,799.967
49,800.044
50,800.052
51,800.064
52,800.066
53,800.106
54,800.144
55,800.160
56,800.168
57,800.246
58,800.295
59,800.297
60,800.328
61,800.334
62,800.335
63,800.383
64,800.397
65,800.419
66,800.439
67,800.441
68,800.450
69,800.478
70,800.491
71,800.498
72,800.526
73,800.552
74,800.555
75,800.598
76,800.608
77,800.631
78,800.640
79,800.733
80,800.763
81,800.881
82,800.891
83,800.996
84,800.997
85,801.040
86,801.072
87,801.155
88,801.188
89,801.223
90,801.244
91,801.285
92,801.286
93,801.398
94,801.427
95,801.608
96,801.743
97,803.043
98,804.069
99,812.201
100,812.201
