Percentage served,Time in ms
0,1791.627
1,1791.690
2,1791.690
3,1791.757
4,1791.829
5,1791.829
6,1791.856
7,1791.932
8,1791.932
9,1791.939
10,1792.043
11,1792.043
12,1792.122
13,1792.256
14,1792.256
15,1792.317
16,1792.463
17,1792.463
18,1792.550
19,1792.756
20,1792.756
21,1792.843
22,1792.905
23,1792.905
24,1793.366
25,1793.406
26,1793.406
27,1793.431
28,1793.578
29,1793.578
30,1793.871
31,1794.293
32,1794.293
33,1794.853
34,1795.293
35,1795.293
36,1795.341
37,1795.520
38,1795.520
39,1795.537
40,1795.616
41,1795.616
42,1795.616
43,1795.701
44,1795.701
45,1795.713
46,1795.738
47,1795.738
48,1795.810
49,1795.897
50,1795.913
51,1795.913
52,1796.108
53,1796.124
54,1796.124
55,1796.214
56,1796.253
57,1796.253
58,1796.469
59,1796.488
60,1796.488
61,1796.493
62,1796.547
63,1796.547
64,1796.622
65,1796.635
66,1796.635
67,1796.655
68,1796.712
69,1796.712
70,1796.944
71,1797.110
72,1797.110
73,1797.167
74,1797.198
75,1797.198
76,1797.211
77,1797.640
78,1797.640
79,1797.822
80,1797.842
81,1797.842
82,1798.146
83,1798.481
84,1798.481
85,1798.675
86,1798.988
87,1798.988
88,1800.518
89,1802.404
90,1802.404
91,1833.306
92,1835.077
93,1835.077
94,1836.074
95,1836.185
96,1836.185
97,1836.366
98,1838.631
99,1838.631
100,1838.631
