Percentage served,Time in ms
0,798.919
1,799.008
2,799.038
3,799.105
4,799.141
5,799.205
6,799.211
7,799.217
8,799.275
9,799.287
10,799.302
11,799.309
12,799.315
13,799.367
14,799.373
15,799.390
16,799.391
17,799.481
18,799.494
19,799.501
20,799.518
21,799.519
22,799.529
23,799.567
24,799.572
25,799.599
26,799.647
27,799.652
28,799.654
29,799.660
30,799.676
31,799.707
32,799.711
33,799.729
34,799.730
35,799.735
36,799.738
37,799.819
38,799.846
39,799.876
40,799.889
41,799.911
42,799.936
43,799.978
44,799.986
45,800.114
46,800.167
47,800.297
48,800.313
49,800.427
50,800.524
51,800.603
52,800.700
53,800.811
54,800.941
55,800.951
56,800.961
57,801.025
58,801.061
59,801.114
60,801.156
61,801.190
62,801.218
63,801.278
64,801.292
65,801.397
66,801.409
67,801.423
68,801.447
69,801.468
70,801.478
71,801.528
72,801.534
73,801.592
74,801.629
75,801.668
76,801.700
77,801.724
78,801.754
79,801.788
80,801.815
81,801.923
82,801.951
83,801.987
84,802.010
85,802.064
86,802.141
87,802.267
88,802.370
89,802.491
90,802.548
91,802.654
92,802.676
93,803.312
94,803.724
95,805.334
96,806.269
97,807.933
98,808.122
99,810.168
100,810.168
