Percentage served,Time in ms
0,1984.481
1,1984.659
2,1984.659
3,1984.669
4,1984.669
5,1984.719
6,1984.722
7,1984.722
8,1984.743
9,1984.743
10,1984.855
11,1984.912
12,1984.912
13,1984.986
14,1984.996
15,1984.996
16,1985.022
17,1985.022
18,1985.124
19,1985.129
20,1985.129
21,1985.150
22,1985.150
23,1985.151
24,1985.191
25,1985.191
26,1985.253
27,1985.253
28,1985.307
29,1985.311
30,1985.311
31,1985.344
32,1985.345
33,1985.345
34,1985.369
35,1985.369
36,1985.413
37,1985.454
38,1985.454
39,1985.552
40,1985.552
41,1985.574
42,1985.586
43,1985.586
44,1985.626
45,1985.626
46,1985.686
47,1986.155
48,1986.155
49,1986.170
50,1986.211
51,1986.211
52,1987.901
53,1987.901
54,1988.375
55,1988.723
56,1988.723
57,1988.966
58,1988.966
59,1989.042
60,1989.070
61,1989.070
62,1989.182
63,1989.182
64,1989.225
65,1989.316
66,1989.316
67,1989.513
68,1989.513
69,1989.553
70,1989.556
71,1989.556
72,1989.560
73,1989.595
74,1989.595
75,1989.774
76,1989.774
77,1989.840
78,1989.850
79,1989.850
80,1989.986
81,1989.986
82,1990.047
83,1990.050
84,1990.050
85,1990.129
86,1990.129
87,1990.609
88,1990.634
89,1990.634
90,1990.708
91,1990.899
92,1990.899
93,1991.218
94,1991.218
95,1992.754
96,1993.837
97,1993.837
98,1996.992
99,1996.992
100,1996.992
