Percentage served,Time in ms
0,794.905
1,795.011
2,795.030
3,795.150
4,795.186
5,795.258
6,795.264
7,795.287
8,795.289
9,795.302
10,795.327
11,795.361
12,795.399
13,795.412
14,795.449
15,795.480
16,795.485
17,795.493
18,795.495
19,795.523
20,795.528
21,795.604
22,795.641
23,795.667
24,795.693
25,795.717
26,795.724
27,795.770
28,795.782
29,795.892
30,795.896
31,795.961
32,795.989
33,796.093
34,796.154
35,796.216
36,796.264
37,796.307
38,796.363
39,796.641
40,796.662
41,796.727
42,796.731
43,796.787
44,796.876
45,796.886
46,796.890
47,796.956
48,796.963
49,796.996
50,797.016
51,797.022
52,797.037
53,797.051
54,797.106
55,797.111
56,797.122
57,797.125
58,797.139
59,797.141
60,797.146
61,797.154
62,797.167
63,797.173
64,797.183
65,797.188
66,797.209
67,797.211
68,797.228
69,797.250
70,797.287
71,797.288
72,797.292
73,797.294
74,797.313
75,797.324
76,797.342
77,797.342
78,797.362
79,797.423
80,797.426
81,797.429
82,797.502
83,797.508
84,797.523
85,797.534
86,797.551
87,797.564
88,797.584
89,797.595
90,797.685
91,797.691
92,797.787
93,797.814
94,797.827
95,797.926
96,798.003
97,798.845
98,799.160
99,799.608
100,799.797
