Percentage served,Time in ms
0,1984.262
1,1984.634
2,1984.634
3,1984.763
4,1984.763
5,1984.948
6,1984.948
7,1984.948
8,1984.976
9,1984.976
10,1985.060
11,1985.070
12,1985.070
13,1985.184
14,1985.246
15,1985.246
16,1985.302
17,1985.302
18,1985.365
19,1985.415
20,1985.415
21,1985.436
22,1985.436
23,1985.466
24,1985.496
25,1985.496
26,1985.561
27,1985.561
28,1985.628
29,1985.810
30,1985.810
31,1985.858
32,1985.930
33,1985.930
34,1985.973
35,1985.973
36,1986.135
37,1986.151
38,1986.151
39,1986.209
40,1986.209
41,1986.274
42,1986.281
43,1986.281
44,1986.296
45,1986.296
46,1986.338
47,1986.386
48,1986.386
49,1986.395
50,1986.421
51,1986.421
52,1986.539
53,1986.539
54,1986.642
55,1986.878
56,1986.878
57,1988.684
58,1988.684
59,1988.808
60,1988.831
61,1988.831
62,1988.834
63,1988.834
64,1988.860
65,1988.882
66,1988.882
67,1989.181
68,1989.181
69,1989.196
70,1989.287
71,1989.287
72,1989.377
73,1989.563
74,1989.563
75,1989.574
76,1989.574
77,1989.628
78,1989.679
79,1989.679
80,1989.710
81,1989.710
82,1989.773
83,1989.774
84,1989.774
85,1990.103
86,1990.103
87,1990.232
88,1990.250
89,1990.250
90,1990.357
91,1990.411
92,1990.411
93,1990.561
94,1990.561
95,1990.679
96,1990.752
97,1990.752
98,1992.029
99,1992.029
100,1992.029
