Percentage served,Time in ms
0,795.238
1,795.269
2,795.292
3,795.318
4,795.332
5,795.334
6,795.336
7,795.347
8,795.369
9,795.373
10,795.376
11,795.440
12,795.460
13,795.492
14,795.506
15,795.520
16,795.526
17,795.534
18,795.536
19,795.574
20,795.587
21,795.596
22,795.606
23,795.613
24,795.617
25,795.626
26,795.635
27,795.659
28,795.688
29,795.692
30,795.703
31,795.720
32,795.733
33,795.746
34,795.748
35,795.755
36,795.757
37,795.797
38,795.803
39,795.828
40,795.828
41,795.866
42,795.873
43,795.884
44,795.913
45,795.965
46,795.975
47,795.995
48,796.013
49,796.175
50,796.423
51,796.469
52,796.757
53,796.777
54,796.825
55,796.844
56,796.956
57,796.982
58,797.044
59,797.050
60,797.067
61,797.083
62,797.104
63,797.111
64,797.131
65,797.148
66,797.154
67,797.185
68,797.195
69,797.214
70,797.238
71,797.241
72,797.285
73,797.321
74,797.347
75,797.378
76,797.381
77,797.389
78,797.423
79,797.426
80,797.489
81,797.498
82,797.524
83,797.535
84,797.554
85,797.554
86,797.555
87,797.584
88,797.698
89,797.709
90,797.745
91,797.757
92,797.990
93,798.076
94,798.380
95,798.387
96,798.515
97,799.146
98,799.410
99,803.773
100,807.872
