Percentage served,Time in ms
0,1842.351
1,1854.683
2,1854.683
3,1855.378
4,1855.378
5,1865.788
6,1866.911
7,1866.911
8,1984.510
9,1984.510
10,1984.593
11,1984.657
12,1984.657
13,1984.744
14,1984.755
15,1984.755
16,1984.906
17,1984.906
18,1985.001
19,1985.075
20,1985.075
21,1985.080
22,1985.080
23,1985.093
24,1985.128
25,1985.128
26,1985.130
27,1985.130
28,1985.150
29,1985.165
30,1985.165
31,1985.413
32,1985.419
33,1985.419
34,1985.430
35,1985.430
36,1985.454
37,1985.647
38,1985.647
39,1985.688
40,1985.688
41,1985.816
42,1985.870
43,1985.870
44,1986.068
45,1986.068
46,1986.209
47,1986.516
48,1986.516
49,1986.639
50,1986.743
51,1986.743
52,1986.955
53,1986.955
54,1987.786
55,1988.094
56,1988.094
57,1988.493
58,1988.493
59,1988.499
60,1988.547
61,1988.547
62,1988.618
63,1988.618
64,1988.749
65,1988.773
66,1988.773
67,1988.822
68,1988.822
69,1988.981
70,1989.214
71,1989.214
72,1989.259
73,1989.262
74,1989.262
75,1989.363
76,1989.363
77,1989.397
78,1989.401
79,1989.401
80,1989.562
81,1989.562
82,1989.627
83,1989.742
84,1989.742
85,1989.780
86,1989.780
87,1989.793
88,1989.794
89,1989.794
90,1990.439
91,1990.693
92,1990.693
93,1992.491
94,1992.491
95,1998.661
96,2010.791
97,2010.791
98,2011.827
99,2011.827
100,2011.827
