Percentage served,Time in ms
0,795.141
1,795.147
2,795.184
3,795.200
4,795.222
5,795.225
6,795.283
7,795.291
8,795.298
9,795.319
10,795.404
11,795.413
12,795.441
13,795.471
14,795.486
15,795.503
16,795.553
17,795.582
18,795.655
19,795.655
20,795.667
21,795.675
22,795.680
23,795.712
24,795.737
25,795.747
26,795.764
27,795.827
28,795.869
29,795.918
30,795.927
31,795.955
32,796.071
33,796.140
34,796.198
35,796.241
36,796.245
37,796.415
38,796.457
39,796.479
40,796.525
41,796.824
42,796.911
43,796.930
44,796.950
45,796.976
46,797.003
47,797.021
48,797.062
49,797.081
50,797.087
51,797.102
52,797.127
53,797.168
54,797.228
55,797.232
56,797.300
57,797.305
58,797.306
59,797.329
60,797.338
61,797.344
62,797.384
63,797.413
64,797.476
65,797.535
66,797.639
67,797.642
68,797.685
69,797.713
70,797.805
71,797.822
72,797.865
73,797.892
74,798.004
75,798.043
76,798.079
77,798.268
78,798.277
79,798.743
80,801.724
81,830.549
82,835.184
83,837.257
84,837.359
85,837.809
86,838.010
87,840.780
88,851.013
89,862.527
90,865.553
91,869.488
92,869.568
93,874.126
94,874.812
95,879.615
96,883.242
97,885.779
98,886.128
99,893.742
100,893.742
