Percentage served,Time in ms
0,1246.416
1,1246.451
2,1246.827
3,1247.089
4,1247.223
5,1247.308
6,1247.350
7,1247.595
8,1247.640
9,1247.704
10,1247.797
11,1247.803
12,1247.839
13,1247.839
14,1247.846
15,1247.951
16,1248.067
17,1248.149
18,1248.150
19,1248.163
20,1248.229
21,1248.814
22,1248.863
23,1248.971
24,1248.990
25,1249.295
26,1249.299
27,1249.342
28,1249.405
29,1249.725
30,1250.096
31,1250.145
32,1250.277
33,1250.339
34,1250.383
35,1250.440
36,1250.505
37,1250.509
38,1250.509
39,1250.514
40,1250.545
41,1250.589
42,1250.719
43,1250.751
44,1250.858
45,1250.909
46,1250.939
47,1251.000
48,1251.048
49,1251.141
50,1251.187
51,1251.310
52,1251.445
53,1251.506
54,1251.699
55,1251.709
56,1251.715
57,1251.762
58,1251.784
59,1251.819
60,1251.825
61,1251.920
62,1251.942
63,1251.942
64,1251.948
65,1251.961
66,1251.994
67,1252.014
68,1252.029
69,1252.066
70,1252.164
71,1252.382
72,1252.476
73,1252.525
74,1252.744
75,1252.847
76,1252.934
77,1253.013
78,1253.020
79,1253.057
80,1253.094
81,1253.151
82,1253.190
83,1253.196
84,1253.251
85,1253.398
86,1253.447
87,1253.449
88,1253.449
89,1253.479
90,1253.542
91,1253.678
92,1253.687
93,1253.855
94,1254.795
95,1254.860
96,1254.977
97,1258.130
98,1258.459
99,1260.349
100,1260.349
