Percentage served,Time in ms
0,1998.852
1,1999.089
2,1999.089
3,1999.312
4,1999.312
5,1999.652
6,1999.812
7,1999.812
8,1999.953
9,1999.953
10,1999.958
11,1999.981
12,1999.981
13,2000.102
14,2000.102
15,2000.247
16,2000.275
17,2000.275
18,2000.466
19,2000.466
20,2000.567
21,2000.571
22,2000.571
23,2000.583
24,2000.583
25,2000.601
26,2000.633
27,2000.633
28,2000.699
29,2000.699
30,2000.783
31,2000.900
32,2000.900
33,2000.986
34,2000.986
35,2000.993
36,2001.105
37,2001.105
38,2001.113
39,2001.113
40,2001.124
41,2001.144
42,2001.144
43,2001.170
44,2001.170
45,2001.288
46,2001.400
47,2001.400
48,2001.623
49,2001.623
50,2001.625
51,2002.571
52,2002.571
53,2002.700
54,2002.700
55,2002.733
56,2002.744
57,2002.744
58,2003.154
59,2003.154
60,2003.316
61,2003.468
62,2003.468
63,2003.777
64,2003.777
65,2003.932
66,2004.047
67,2004.047
68,2004.285
69,2004.285
70,2004.373
71,2004.475
72,2004.475
73,2004.520
74,2004.520
75,2004.662
76,2004.758
77,2004.758
78,2004.883
79,2004.883
80,2005.097
81,2005.598
82,2005.598
83,2005.622
84,2005.622
85,2005.754
86,2005.875
87,2005.875
88,2006.127
89,2006.127
90,2006.640
91,2006.710
92,2006.710
93,2007.469
94,2007.469
95,2008.277
96,2008.758
97,2008.758
98,2011.748
99,2011.748
100,2011.748
