Percentage served,Time in ms
0,1235.426
1,1235.799
2,1235.829
3,1235.879
4,1235.880
5,1236.005
6,1236.526
7,1236.540
8,1236.586
9,1237.968
10,1237.969
11,1238.013
12,1238.170
13,1238.351
14,1238.536
15,1238.561
16,1238.569
17,1238.569
18,1238.615
19,1238.629
20,1238.729
21,1238.753
22,1238.765
23,1238.897
24,1238.981
25,1239.006
26,1239.007
27,1239.486
28,1239.561
29,1239.669
30,1239.730
31,1239.756
32,1239.766
33,1239.821
34,1239.877
35,1239.888
36,1239.915
37,1239.970
38,1239.982
39,1240.061
40,1240.092
41,1240.112
42,1240.117
43,1240.119
44,1240.126
45,1240.201
46,1240.330
47,1240.369
48,1240.385
49,1240.515
50,1240.667
51,1240.667
52,1240.761
53,1240.803
54,1240.851
55,1240.940
56,1241.017
57,1241.120
58,1241.181
59,1241.191
60,1241.260
61,1241.456
62,1241.547
63,1241.581
64,1242.269
65,1243.415
66,1243.676
67,1243.828
68,1243.887
69,1243.959
70,1244.265
71,1244.305
72,1244.311
73,1244.319
74,1244.816
75,1244.956
76,1245.184
77,1245.521
78,1245.562
79,1246.448
80,1246.545
81,1246.917
82,1248.121
83,1249.269
84,1249.269
85,1251.748
86,1251.758
87,1253.322
88,1253.455
89,1254.439
90,1254.458
91,1255.395
92,1256.761
93,1261.319
94,1262.491
95,1263.723
96,1264.081
97,1265.139
98,1275.732
99,1334.075
100,1334.075
