Percentage served,Time in ms
0,1843.672
1,1847.120
2,1847.120
3,1853.116
4,1853.116
5,1855.152
6,1859.278
7,1859.278
8,1862.250
9,1862.250
10,1862.706
11,1864.827
12,1864.827
13,1864.873
14,1869.577
15,1869.577
16,1988.222
17,1988.222
18,1988.254
19,1988.255
20,1988.255
21,1988.321
22,1988.321
23,1988.441
24,1988.517
25,1988.517
26,1988.551
27,1988.551
28,1988.632
29,1988.683
30,1988.683
31,1988.787
32,1988.969
33,1988.969
34,1989.000
35,1989.000
36,1989.003
37,1989.368
38,1989.368
39,1989.403
40,1989.403
41,1989.403
42,1989.672
43,1989.672
44,1989.833
45,1989.833
46,1989.892
47,1989.980
48,1989.980
49,1990.636
50,1991.420
51,1991.420
52,1991.843
53,1991.843
54,1991.955
55,1992.330
56,1992.330
57,1992.651
58,1992.651
59,1992.651
60,1992.830
61,1992.830
62,1992.888
63,1992.888
64,1992.967
65,1993.023
66,1993.023
67,1993.077
68,1993.077
69,1993.136
70,1993.236
71,1993.236
72,1993.248
73,1993.347
74,1993.347
75,1993.360
76,1993.360
77,1993.373
78,1993.598
79,1993.598
80,1993.623
81,1993.623
82,1993.734
83,1993.736
84,1993.736
85,1994.009
86,1994.009
87,1994.242
88,1994.437
89,1994.437
90,1994.511
91,1994.970
92,1994.970
93,1999.933
94,1999.933
95,2027.278
96,2037.973
97,2037.973
98,2054.638
99,2054.638
100,2054.638
