Percentage served,Time in ms
0,1195.951
1,1196.122
2,1196.243
3,1196.245
4,1196.280
5,1196.282
6,1196.306
7,1196.441
8,1196.459
9,1196.556
10,1196.662
11,1196.672
12,1196.682
13,1196.705
14,1196.745
15,1196.771
16,1196.909
17,1196.929
18,1196.941
19,1196.961
20,1197.005
21,1197.015
22,1197.017
23,1197.025
24,1197.025
25,1197.032
26,1197.052
27,1197.164
28,1197.167
29,1197.184
30,1197.231
31,1197.232
32,1197.237
33,1197.274
34,1197.330
35,1197.418
36,1197.450
37,1197.467
38,1197.528
39,1197.922
40,1198.013
41,1198.062
42,1198.120
43,1198.312
44,1198.396
45,1198.638
46,1198.692
47,1198.712
48,1198.730
49,1198.773
50,1198.788
51,1198.791
52,1198.807
53,1198.830
54,1198.844
55,1198.917
56,1198.927
57,1198.958
58,1198.978
59,1199.012
60,1199.057
61,1199.091
62,1199.099
63,1199.099
64,1199.101
65,1199.178
66,1199.243
67,1199.269
68,1199.283
69,1199.338
70,1199.401
71,1199.448
72,1199.478
73,1199.499
74,1199.503
75,1199.538
76,1199.544
77,1199.575
78,1199.588
79,1199.590
80,1199.622
81,1199.648
82,1199.675
83,1199.863
84,1199.872
85,1199.989
86,1200.059
87,1200.060
88,1200.157
89,1200.181
90,1200.309
91,1200.684
92,1200.741
93,1200.790
94,1200.899
95,1200.929
96,1201.204
97,1202.753
98,1237.853
99,1241.245
100,1241.245
