Percentage served,Time in ms
0,1791.802
1,1791.937
2,1791.937
3,1792.117
4,1792.355
5,1792.355
6,1792.573
7,1792.752
8,1792.752
9,1792.755
10,1792.777
11,1792.777
12,1792.881
13,1792.939
14,1792.939
15,1792.943
16,1792.973
17,1792.973
18,1793.022
19,1793.129
20,1793.129
21,1793.167
22,1793.433
23,1793.433
24,1793.453
25,1793.499
26,1793.499
27,1793.612
28,1793.733
29,1793.733
30,1793.843
31,1793.943
32,1793.943
33,1794.011
34,1794.144
35,1794.144
36,1794.162
37,1794.180
38,1794.180
39,1794.513
40,1795.493
41,1795.493
42,1795.564
43,1795.622
44,1795.622
45,1795.947
46,1796.038
47,1796.038
48,1796.091
49,1796.130
50,1796.160
51,1796.160
52,1796.172
53,1796.294
54,1796.294
55,1796.295
56,1796.296
57,1796.296
58,1796.333
59,1796.357
60,1796.357
61,1796.364
62,1796.393
63,1796.393
64,1796.400
65,1796.445
66,1796.445
67,1796.521
68,1796.600
69,1796.600
70,1796.630
71,1796.654
72,1796.654
73,1796.724
74,1796.854
75,1796.854
76,1796.950
77,1797.065
78,1797.065
79,1797.223
80,1797.241
81,1797.241
82,1797.407
83,1797.705
84,1797.705
85,1797.884
86,1798.229
87,1798.229
88,1798.821
89,1799.721
90,1799.721
91,1800.346
92,1806.655
93,1806.655
94,1832.668
95,1833.131
96,1833.131
97,1833.248
98,1836.797
99,1836.797
100,1836.797
