Percentage served,Time in ms
0,1231.759
1,1233.343
2,1234.169
3,1234.177
4,1234.332
5,1234.365
6,1234.420
7,1234.423
8,1234.425
9,1234.466
10,1234.585
11,1234.627
12,1234.717
13,1234.776
14,1234.849
15,1234.865
16,1234.869
17,1234.869
18,1234.928
19,1235.035
20,1235.100
21,1235.153
22,1235.153
23,1235.157
24,1235.256
25,1235.352
26,1235.355
27,1235.477
28,1235.497
29,1235.504
30,1235.523
31,1235.586
32,1235.658
33,1235.690
34,1235.694
35,1235.722
36,1235.727
37,1235.739
38,1235.747
39,1235.776
40,1235.798
41,1235.853
42,1235.854
43,1235.859
44,1235.872
45,1235.873
46,1235.881
47,1235.898
48,1235.951
49,1235.985
50,1236.002
51,1236.002
52,1236.007
53,1236.023
54,1236.034
55,1236.040
56,1236.059
57,1236.113
58,1236.119
59,1236.120
60,1236.147
61,1236.153
62,1236.163
63,1236.209
64,1236.221
65,1236.263
66,1236.346
67,1236.353
68,1236.372
69,1236.588
70,1236.864
71,1236.944
72,1236.946
73,1236.954
74,1237.045
75,1237.058
76,1237.082
77,1237.147
78,1237.182
79,1237.240
80,1237.275
81,1237.357
82,1237.365
83,1237.390
84,1237.390
85,1237.455
86,1237.467
87,1237.610
88,1237.850
89,1238.308
90,1239.356
91,1239.542
92,1239.868
93,1239.946
94,1239.973
95,1240.011
96,1240.439
97,1241.143
98,1241.233
99,1245.840
100,1245.840
