Percentage served,Time in ms
0,1984.774
1,1984.949
2,1984.949
3,1984.966
4,1984.966
5,1984.997
6,1985.276
7,1985.276
8,1985.333
9,1985.333
10,1985.493
11,1985.605
12,1985.605
13,1985.632
14,1985.639
15,1985.639
16,1985.675
17,1985.675
18,1985.686
19,1985.700
20,1985.700
21,1985.862
22,1985.862
23,1985.912
24,1985.915
25,1985.915
26,1985.925
27,1985.925
28,1985.950
29,1986.006
30,1986.006
31,1986.027
32,1986.141
33,1986.141
34,1986.324
35,1986.324
36,1986.364
37,1986.594
38,1986.594
39,1986.623
40,1986.623
41,1987.180
42,1987.370
43,1987.370
44,1988.385
45,1988.385
46,1988.837
47,1988.930
48,1988.930
49,1989.048
50,1989.400
51,1989.400
52,1989.410
53,1989.410
54,1989.485
55,1989.539
56,1989.539
57,1989.662
58,1989.662
59,1989.674
60,1989.683
61,1989.683
62,1989.692
63,1989.692
64,1989.822
65,1989.878
66,1989.878
67,1989.891
68,1989.891
69,1989.895
70,1989.980
71,1989.980
72,1990.132
73,1990.176
74,1990.176
75,1990.246
76,1990.246
77,1990.251
78,1990.350
79,1990.350
80,1990.365
81,1990.365
82,1990.437
83,1990.603
84,1990.603
85,1990.734
86,1990.734
87,1990.833
88,1990.928
89,1990.928
90,1991.027
91,1991.124
92,1991.124
93,1991.203
94,1991.203
95,1991.432
96,1991.575
97,1991.575
98,1993.560
99,1993.560
100,1993.560
