Percentage served,Time in ms
0,795.453
1,795.490
2,795.528
3,795.600
4,795.636
5,795.673
6,795.709
7,795.710
8,795.757
9,795.770
10,795.792
11,795.855
12,795.856
13,795.878
14,795.901
15,795.912
16,795.950
17,795.994
18,795.995
19,796.015
20,796.025
21,796.043
22,796.044
23,796.088
24,796.093
25,796.115
26,796.120
27,796.130
28,796.151
29,796.166
30,796.168
31,796.232
32,796.237
33,796.257
34,796.266
35,796.292
36,796.303
37,796.386
38,796.447
39,796.477
40,796.482
41,796.526
42,796.535
43,796.555
44,796.575
45,796.640
46,796.646
47,796.749
48,796.830
49,797.065
50,797.179
51,797.185
52,797.195
53,797.222
54,797.261
55,797.282
56,797.330
57,797.350
58,797.386
59,797.389
60,797.442
61,797.469
62,797.478
63,797.518
64,797.581
65,797.608
66,797.643
67,797.653
68,797.708
69,797.710
70,797.727
71,797.731
72,797.736
73,797.767
74,797.783
75,797.790
76,797.834
77,797.839
78,797.856
79,797.860
80,797.881
81,797.891
82,797.909
83,797.915
84,797.931
85,797.931
86,797.951
87,797.962
88,797.983
89,798.050
90,798.102
91,798.116
92,798.167
93,798.169
94,798.267
95,798.287
96,798.338
97,798.399
98,798.705
99,799.064
100,802.950
