Percentage served,Time in ms
0,1985.003
1,1985.049
2,1985.049
3,1985.133
4,1985.133
5,1985.458
6,1985.638
7,1985.638
8,1985.676
9,1985.676
10,1985.706
11,1985.720
12,1985.720
13,1985.801
14,1985.853
15,1985.853
16,1985.897
17,1985.897
18,1985.910
19,1985.914
20,1985.914
21,1985.964
22,1985.964
23,1985.980
24,1985.992
25,1985.992
26,1986.002
27,1986.002
28,1986.301
29,1986.418
30,1986.418
31,1986.692
32,1986.916
33,1986.916
34,1986.946
35,1986.946
36,1986.995
37,1989.216
38,1989.216
39,1989.357
40,1989.357
41,1989.415
42,1989.566
43,1989.566
44,1989.703
45,1989.703
46,1989.750
47,1989.774
48,1989.774
49,1989.788
50,1989.885
51,1989.885
52,1989.992
53,1989.992
54,1990.013
55,1990.060
56,1990.060
57,1990.061
58,1990.061
59,1990.067
60,1990.097
61,1990.097
62,1990.207
63,1990.207
64,1990.466
65,1990.485
66,1990.485
67,1990.523
68,1990.523
69,1990.544
70,1990.582
71,1990.582
72,1990.694
73,1990.705
74,1990.705
75,1990.885
76,1990.885
77,1991.010
78,1991.051
79,1991.051
80,1991.236
81,1991.236
82,1991.237
83,1991.280
84,1991.280
85,1991.292
86,1991.292
87,1991.304
88,1991.510
89,1991.510
90,1991.530
91,1991.598
92,1991.598
93,1991.824
94,1991.824
95,1991.980
96,1992.352
97,1992.352
98,2000.034
99,2000.034
100,2000.034
