Percentage served,Time in ms
0,795.329
1,795.519
2,795.527
3,795.603
4,795.621
5,795.659
6,795.663
7,795.699
8,795.701
9,795.746
10,795.757
11,795.773
12,795.788
13,795.809
14,795.831
15,795.842
16,795.845
17,795.868
18,795.872
19,795.890
20,795.907
21,795.952
22,795.993
23,795.998
24,796.009
25,796.024
26,796.026
27,796.049
28,796.077
29,796.114
30,796.136
31,796.185
32,796.201
33,796.253
34,796.264
35,796.295
36,796.298
37,796.323
38,796.435
39,796.654
40,796.717
41,796.977
42,797.101
43,797.112
44,797.125
45,797.148
46,797.152
47,797.230
48,797.231
49,797.244
50,797.294
51,797.325
52,797.361
53,797.372
54,797.393
55,797.454
56,797.465
57,797.467
58,797.501
59,797.525
60,797.544
61,797.545
62,797.572
63,797.579
64,797.603
65,797.632
66,797.649
67,797.650
68,797.659
69,797.664
70,797.671
71,797.705
72,797.722
73,797.726
74,797.736
75,797.737
76,797.759
77,797.776
78,797.825
79,797.832
80,797.844
81,797.849
82,797.892
83,797.897
84,797.922
85,797.944
86,797.946
87,797.972
88,798.026
89,798.041
90,798.087
91,798.111
92,798.168
93,798.226
94,798.320
95,798.355
96,798.499
97,798.611
98,800.253
99,800.416
100,802.072
