Percentage served,Time in ms
0,1985.126
1,1985.261
2,1985.261
3,1985.377
4,1985.377
5,1985.421
6,1985.523
7,1985.523
8,1985.560
9,1985.560
10,1985.579
11,1985.653
12,1985.653
13,1985.662
14,1985.745
15,1985.745
16,1985.770
17,1985.770
18,1985.798
19,1986.006
20,1986.006
21,1986.069
22,1986.069
23,1986.104
24,1986.222
25,1986.222
26,1986.396
27,1986.396
28,1986.479
29,1986.723
30,1986.723
31,1986.909
32,1987.044
33,1987.044
34,1987.225
35,1987.225
36,1987.795
37,1988.547
38,1988.547
39,1989.270
40,1989.270
41,1989.470
42,1989.605
43,1989.605
44,1989.781
45,1989.781
46,1990.041
47,1990.102
48,1990.102
49,1990.116
50,1990.121
51,1990.121
52,1990.159
53,1990.159
54,1990.228
55,1990.260
56,1990.260
57,1990.313
58,1990.313
59,1990.347
60,1990.389
61,1990.389
62,1990.413
63,1990.413
64,1990.415
65,1990.437
66,1990.437
67,1990.534
68,1990.534
69,1990.557
70,1990.566
71,1990.566
72,1990.734
73,1990.781
74,1990.781
75,1990.868
76,1990.868
77,1990.973
78,1991.024
79,1991.024
80,1991.147
81,1991.147
82,1991.366
83,1991.651
84,1991.651
85,1991.671
86,1991.671
87,1991.948
88,1992.021
89,1992.021
90,1992.733
91,1992.736
92,1992.736
93,1995.171
94,1995.171
95,1995.172
96,1995.250
97,1995.250
98,1996.070
99,1996.070
100,1996.070
