Percentage served,Time in ms
0,1247.466
1,1247.494
2,1247.652
3,1247.780
4,1247.840
5,1247.865
6,1247.943
7,1248.008
8,1248.272
9,1248.295
10,1248.869
11,1248.869
12,1248.991
13,1249.187
14,1249.410
15,1249.699
16,1249.952
17,1250.016
18,1250.184
19,1250.431
20,1250.433
21,1250.435
22,1250.441
23,1250.497
24,1250.514
25,1250.621
26,1250.654
27,1250.663
28,1250.737
29,1250.833
30,1250.863
31,1250.863
32,1250.900
33,1250.964
34,1251.081
35,1251.280
36,1251.287
37,1251.471
38,1251.575
39,1251.606
40,1251.674
41,1251.732
42,1251.803
43,1251.808
44,1251.884
45,1251.923
46,1251.942
47,1252.007
48,1252.099
49,1252.317
50,1252.789
51,1252.789
52,1252.894
53,1252.946
54,1252.999
55,1253.054
56,1253.102
57,1253.205
58,1253.216
59,1253.334
60,1253.406
61,1253.438
62,1253.660
63,1253.672
64,1253.748
65,1253.767
66,1254.205
67,1256.204
68,1256.619
69,1256.719
70,1256.927
71,1256.927
72,1257.597
73,1257.969
74,1258.409
75,1258.438
76,1258.866
77,1259.271
78,1259.741
79,1259.914
80,1261.252
81,1261.445
82,1263.786
83,1265.192
84,1266.290
85,1266.601
86,1268.125
87,1270.958
88,1275.559
89,1276.114
90,1276.783
91,1276.783
92,1283.737
93,1283.887
94,1284.927
95,1287.074
96,1289.078
97,1306.316
98,1461.318
99,1469.279
100,1469.279
