Percentage served,Time in ms
0,1865.832
1,1871.085
2,1871.085
3,1873.749
4,1873.749
5,1999.253
6,1999.831
7,1999.831
8,1999.908
9,1999.908
10,1999.927
11,1999.946
12,1999.946
13,1999.976
14,1999.976
15,2000.088
16,2000.160
17,2000.160
18,2000.175
19,2000.175
20,2000.265
21,2000.274
22,2000.274
23,2000.275
24,2000.275
25,2000.331
26,2000.363
27,2000.363
28,2000.892
29,2000.892
30,2000.956
31,2001.223
32,2001.223
33,2001.485
34,2001.485
35,2002.201
36,2002.367
37,2002.367
38,2002.621
39,2002.621
40,2003.148
41,2003.696
42,2003.696
43,2004.050
44,2004.050
45,2004.140
46,2004.357
47,2004.357
48,2004.367
49,2004.367
50,2004.529
51,2004.605
52,2004.605
53,2004.761
54,2004.761
55,2004.797
56,2004.811
57,2004.811
58,2004.923
59,2004.923
60,2005.009
61,2005.408
62,2005.408
63,2005.551
64,2005.551
65,2005.552
66,2005.708
67,2005.708
68,2005.850
69,2005.850
70,2006.138
71,2006.149
72,2006.149
73,2006.405
74,2006.405
75,2006.866
76,2006.969
77,2006.969
78,2007.159
79,2007.159
80,2007.696
81,2008.808
82,2008.808
83,2010.058
84,2010.058
85,2011.783
86,2015.710
87,2015.710
88,2017.294
89,2017.294
90,2034.805
91,2047.973
92,2047.973
93,2050.073
94,2050.073
95,2056.513
96,2057.262
97,2057.262
98,2090.762
99,2090.762
100,2090.762
