Percentage served,Time in ms
0,849.435
1,849.975
2,850.447
3,850.490
4,850.554
5,850.698
6,850.796
7,850.888
8,851.304
9,851.640
10,851.855
11,851.895
12,851.898
13,851.920
14,851.930
15,851.976
16,851.986
17,852.001
18,852.133
19,852.136
20,852.163
21,852.211
22,852.424
23,852.464
24,852.480
25,852.504
26,852.535
27,852.664
28,852.708
29,852.750
30,852.806
31,852.858
32,852.997
33,853.022
34,853.087
35,853.101
36,853.105
37,853.176
38,853.194
39,853.234
40,853.303
41,853.347
42,853.375
43,853.493
44,853.592
45,853.648
46,853.695
47,853.807
48,853.869
49,853.913
50,853.930
51,853.959
52,854.000
53,854.005
54,854.042
55,854.052
56,854.057
57,854.196
58,854.224
59,854.344
60,854.403
61,854.445
62,854.475
63,854.711
64,854.751
65,854.756
66,854.784
67,854.908
68,854.929
69,855.105
70,855.225
71,855.245
72,855.251
73,855.355
74,855.438
75,855.586
76,855.853
77,855.999
78,856.054
79,856.213
80,856.262
81,856.485
82,856.750
83,856.755
84,856.957
85,857.700
86,857.802
87,858.039
88,858.572
89,858.997
90,859.838
91,861.380
92,865.217
93,865.297
94,867.700
95,868.691
96,869.520
97,872.393
98,874.721
99,890.763
100,890.763
