Percentage served,Time in ms
0,2038.849
1,2039.457
2,2039.457
3,2040.671
4,2040.671
5,2040.893
6,2041.133
7,2041.133
8,2041.271
9,2041.271
10,2041.339
11,2041.339
12,2041.537
13,2041.647
14,2041.647
15,2041.683
16,2041.683
17,2041.813
18,2041.853
19,2041.853
20,2042.052
21,2042.052
22,2042.583
23,2042.654
24,2042.654
25,2042.930
26,2042.930
27,2042.989
28,2042.991
29,2042.991
30,2044.032
31,2044.032
32,2044.288
33,2044.288
34,2044.327
35,2044.637
36,2044.637
37,2045.031
38,2045.031
39,2045.118
40,2045.333
41,2045.333
42,2045.485
43,2045.485
44,2045.541
45,2045.783
46,2045.783
47,2045.940
48,2045.940
49,2045.989
50,2046.050
51,2046.050
52,2046.599
53,2046.599
54,2046.642
55,2046.642
56,2046.646
57,2046.801
58,2046.801
59,2046.802
60,2046.802
61,2046.820
62,2046.939
63,2046.939
64,2046.949
65,2046.949
66,2047.002
67,2047.056
68,2047.056
69,2047.255
70,2047.255
71,2047.297
72,2047.297
73,2047.869
74,2047.905
75,2047.905
76,2048.006
77,2048.006
78,2048.115
79,2048.340
80,2048.340
81,2048.530
82,2048.530
83,2048.676
84,2048.702
85,2048.702
86,2048.960
87,2048.960
88,2048.979
89,2049.101
90,2049.101
91,2049.973
92,2049.973
93,2050.833
94,2050.833
95,2053.646
96,2054.452
97,2054.452
98,2056.310
99,2056.310
100,2056.310
