Percentage served,Time in ms
0,2038.929
1,2040.229
2,2040.229
3,2040.230
4,2040.230
5,2040.527
6,2040.528
7,2040.528
8,2040.880
9,2040.880
10,2041.433
11,2041.433
12,2041.476
13,2041.482
14,2041.482
15,2041.640
16,2041.640
17,2041.724
18,2041.924
19,2041.924
20,2042.112
21,2042.112
22,2042.143
23,2042.158
24,2042.158
25,2042.509
26,2042.509
27,2042.599
28,2043.096
29,2043.096
30,2043.124
31,2043.124
32,2043.130
33,2043.130
34,2043.137
35,2043.230
36,2043.230
37,2043.279
38,2043.279
39,2043.605
40,2044.005
41,2044.005
42,2044.178
43,2044.178
44,2044.559
45,2044.812
46,2044.812
47,2044.936
48,2044.936
49,2045.357
50,2045.409
51,2045.409
52,2045.536
53,2045.536
54,2045.786
55,2045.786
56,2046.511
57,2046.698
58,2046.698
59,2046.750
60,2046.750
61,2046.843
62,2047.542
63,2047.542
64,2047.616
65,2047.616
66,2047.793
67,2047.883
68,2047.883
69,2048.064
70,2048.064
71,2048.639
72,2048.639
73,2048.876
74,2049.213
75,2049.213
76,2049.852
77,2049.852
78,2050.820
79,2051.228
80,2051.228
81,2052.514
82,2052.514
83,2053.747
84,2054.048
85,2054.048
86,2054.196
87,2054.196
88,2055.495
89,2056.882
90,2056.882
91,2056.893
92,2056.893
93,2058.170
94,2058.170
95,2062.216
96,2062.433
97,2062.433
98,2081.134
99,2081.134
100,2081.134
