Percentage served,Time in ms
0,850.803
1,850.946
2,851.503
3,851.933
4,852.068
5,852.137
6,852.148
7,852.354
8,852.463
9,852.671
10,852.715
11,852.765
12,852.937
13,853.107
14,853.181
15,853.621
16,853.629
17,853.820
18,853.855
19,853.985
20,854.082
21,854.095
22,854.159
23,854.188
24,854.368
25,854.415
26,854.442
27,854.687
28,854.853
29,854.921
30,854.985
31,855.032
32,855.263
33,855.335
34,855.381
35,855.471
36,855.696
37,855.982
38,856.080
39,856.089
40,856.153
41,856.184
42,856.337
43,856.399
44,856.446
45,856.597
46,856.709
47,856.731
48,856.884
49,857.056
50,857.199
51,857.269
52,857.979
53,858.279
54,858.292
55,858.396
56,859.287
57,859.312
58,859.531
59,859.532
60,859.553
61,860.150
62,860.329
63,860.388
64,860.431
65,860.536
66,861.283
67,861.306
68,861.828
69,862.065
70,862.396
71,863.141
72,863.247
73,863.320
74,863.528
75,863.781
76,864.572
77,864.587
78,864.840
79,864.905
80,865.142
81,866.120
82,866.747
83,867.443
84,867.775
85,868.557
86,870.921
87,870.936
88,871.819
89,872.040
90,872.285
91,872.288
92,873.009
93,873.244
94,874.288
95,874.992
96,875.906
97,879.046
98,882.447
99,887.839
100,887.839
