Percentage served,Time in ms
0,795.337
1,795.588
2,795.614
3,795.735
4,795.779
5,795.837
6,795.856
7,795.897
8,795.952
9,795.986
10,795.993
11,795.997
12,795.998
13,796.007
14,796.017
15,796.029
16,796.036
17,796.061
18,796.064
19,796.082
20,796.085
21,796.100
22,796.108
23,796.146
24,796.162
25,796.180
26,796.196
27,796.217
28,796.242
29,796.269
30,796.273
31,796.370
32,796.388
33,796.421
34,796.426
35,796.521
36,796.524
37,796.535
38,796.550
39,796.569
40,796.594
41,796.649
42,796.658
43,796.736
44,796.762
45,796.879
46,796.925
47,797.038
48,797.060
49,797.089
50,797.128
51,797.232
52,797.269
53,797.277
54,797.318
55,797.360
56,797.392
57,797.417
58,797.426
59,797.462
60,797.543
61,797.556
62,797.560
63,797.607
64,797.665
65,797.679
66,797.739
67,797.744
68,797.770
69,797.783
70,797.843
71,797.848
72,797.942
73,797.968
74,797.996
75,798.016
76,798.067
77,798.068
78,798.125
79,798.163
80,798.181
81,798.190
82,798.219
83,798.261
84,798.327
85,798.334
86,798.436
87,798.445
88,798.539
89,798.542
90,798.624
91,798.664
92,798.738
93,798.791
94,798.882
95,799.006
96,799.245
97,799.296
98,800.017
99,800.304
100,806.453
