Percentage served,Time in ms
0,1984.549
1,1984.913
2,1984.913
3,1984.946
4,1984.946
5,1985.030
6,1985.087
7,1985.087
8,1985.165
9,1985.165
10,1985.516
11,1985.562
12,1985.562
13,1985.684
14,1985.728
15,1985.728
16,1985.732
17,1985.732
18,1985.815
19,1985.839
20,1985.839
21,1985.890
22,1985.890
23,1985.963
24,1986.012
25,1986.012
26,1986.016
27,1986.016
28,1986.041
29,1986.068
30,1986.068
31,1986.091
32,1986.137
33,1986.137
34,1986.165
35,1986.165
36,1986.318
37,1986.376
38,1986.376
39,1986.389
40,1986.389
41,1986.391
42,1986.616
43,1986.616
44,1986.996
45,1986.996
46,1987.270
47,1987.323
48,1987.323
49,1987.364
50,1988.711
51,1988.711
52,1988.841
53,1988.841
54,1989.394
55,1989.440
56,1989.440
57,1989.474
58,1989.474
59,1989.901
60,1989.922
61,1989.922
62,1990.014
63,1990.014
64,1990.160
65,1990.324
66,1990.324
67,1990.351
68,1990.351
69,1990.380
70,1990.532
71,1990.532
72,1990.548
73,1990.554
74,1990.554
75,1990.587
76,1990.587
77,1990.750
78,1990.776
79,1990.776
80,1990.824
81,1990.824
82,1990.854
83,1990.989
84,1990.989
85,1991.010
86,1991.010
87,1991.246
88,1991.444
89,1991.444
90,1991.482
91,1992.194
92,1992.194
93,1992.313
94,1992.313
95,1997.871
96,1998.187
97,1998.187
98,1998.651
99,1998.651
100,1998.651
