Percentage served,Time in ms
0,1231.881
1,1232.341
2,1232.949
3,1233.180
4,1233.608
5,1233.775
6,1233.802
7,1234.324
8,1234.340
9,1234.386
10,1234.469
11,1234.510
12,1234.574
13,1234.670
14,1234.701
15,1234.724
16,1234.745
17,1234.745
18,1234.775
19,1234.782
20,1234.789
21,1234.801
22,1234.834
23,1234.867
24,1234.921
25,1234.933
26,1234.943
27,1235.457
28,1235.519
29,1235.605
30,1235.626
31,1235.694
32,1235.698
33,1235.716
34,1235.732
35,1235.746
36,1235.749
37,1235.759
38,1235.799
39,1235.806
40,1235.807
41,1235.865
42,1235.866
43,1235.876
44,1235.878
45,1235.883
46,1235.902
47,1235.946
48,1235.955
49,1235.962
50,1235.966
51,1235.966
52,1235.969
53,1235.976
54,1235.994
55,1236.009
56,1236.015
57,1236.129
58,1236.196
59,1236.196
60,1236.283
61,1236.311
62,1236.347
63,1236.348
64,1236.352
65,1236.463
66,1236.468
67,1236.563
68,1236.573
69,1236.580
70,1236.683
71,1236.877
72,1236.892
73,1236.969
74,1237.010
75,1237.041
76,1237.050
77,1237.244
78,1237.257
79,1237.259
80,1237.304
81,1237.334
82,1237.427
83,1237.457
84,1237.457
85,1237.493
86,1237.546
87,1237.649
88,1238.257
89,1238.329
90,1238.657
91,1238.704
92,1238.738
93,1238.852
94,1238.891
95,1239.400
96,1239.571
97,1239.665
98,1239.829
99,1240.411
100,1240.411
