Percentage served,Time in ms
0,1984.744
1,1984.908
2,1984.908
3,1985.044
4,1985.044
5,1985.073
6,1985.124
7,1985.124
8,1985.149
9,1985.149
10,1985.267
11,1985.428
12,1985.428
13,1985.539
14,1985.630
15,1985.630
16,1985.726
17,1985.726
18,1985.821
19,1985.927
20,1985.927
21,1985.970
22,1985.970
23,1985.970
24,1985.997
25,1985.997
26,1986.207
27,1986.207
28,1986.265
29,1986.500
30,1986.500
31,1986.526
32,1986.640
33,1986.640
34,1986.733
35,1986.733
36,1986.776
37,1988.914
38,1988.914
39,1988.944
40,1988.944
41,1989.046
42,1989.231
43,1989.231
44,1989.232
45,1989.232
46,1989.263
47,1989.281
48,1989.281
49,1989.285
50,1989.384
51,1989.384
52,1989.453
53,1989.453
54,1989.582
55,1989.626
56,1989.626
57,1989.751
58,1989.751
59,1989.849
60,1989.873
61,1989.873
62,1989.893
63,1989.893
64,1989.946
65,1990.093
66,1990.093
67,1990.094
68,1990.094
69,1990.204
70,1990.270
71,1990.270
72,1990.284
73,1990.464
74,1990.464
75,1990.481
76,1990.481
77,1990.490
78,1990.539
79,1990.539
80,1990.564
81,1990.564
82,1990.705
83,1990.711
84,1990.711
85,1990.807
86,1990.807
87,1990.929
88,1991.105
89,1991.105
90,1991.212
91,1991.344
92,1991.344
93,1991.591
94,1991.591
95,1992.291
96,1992.416
97,1992.416
98,1994.082
99,1994.082
100,1994.082
