Percentage served,Time in ms
0,1234.000
1,1234.166
2,1234.330
3,1234.359
4,1234.372
5,1234.411
6,1234.443
7,1234.461
8,1234.470
9,1234.493
10,1234.534
11,1234.534
12,1234.534
13,1234.617
14,1234.641
15,1234.713
16,1234.731
17,1234.831
18,1234.918
19,1234.934
20,1234.945
21,1235.155
22,1235.342
23,1235.366
24,1235.454
25,1235.656
26,1235.673
27,1235.674
28,1235.707
29,1235.733
30,1235.752
31,1235.752
32,1235.775
33,1235.789
34,1235.793
35,1235.796
36,1235.810
37,1235.819
38,1235.902
39,1235.916
40,1235.927
41,1235.930
42,1235.946
43,1235.947
44,1235.962
45,1235.990
46,1236.009
47,1236.011
48,1236.034
49,1236.039
50,1236.039
51,1236.039
52,1236.126
53,1236.156
54,1236.223
55,1236.238
56,1236.281
57,1236.375
58,1236.396
59,1236.402
60,1236.436
61,1236.447
62,1236.449
63,1236.891
64,1236.982
65,1237.078
66,1237.097
67,1237.107
68,1237.148
69,1237.154
70,1237.166
71,1237.166
72,1237.166
73,1237.212
74,1237.292
75,1237.369
76,1237.399
77,1237.405
78,1237.454
79,1237.600
80,1237.654
81,1237.744
82,1238.592
83,1239.403
84,1239.659
85,1239.659
86,1239.668
87,1239.725
88,1239.858
89,1239.944
90,1240.034
91,1240.034
92,1240.037
93,1240.321
94,1240.829
95,1241.021
96,1241.235
97,1241.362
98,1244.510
99,4274.870
100,4274.870
