Percentage served,Time in ms
0,1985.316
1,1985.350
2,1985.350
3,1985.509
4,1985.509
5,1985.628
6,1985.882
7,1985.882
8,1985.902
9,1985.902
10,1986.025
11,1986.320
12,1986.320
13,1986.355
14,1986.377
15,1986.377
16,1986.378
17,1986.378
18,1986.413
19,1986.430
20,1986.430
21,1986.577
22,1986.577
23,1986.661
24,1986.809
25,1986.809
26,1986.940
27,1986.940
28,1987.001
29,1987.029
30,1987.029
31,1987.103
32,1987.125
33,1987.125
34,1987.154
35,1987.154
36,1987.380
37,1987.614
38,1987.614
39,1987.781
40,1987.781
41,1987.811
42,1987.919
43,1987.919
44,1988.073
45,1988.073
46,1988.173
47,1989.204
48,1989.204
49,1989.503
50,1989.563
51,1989.563
52,1989.615
53,1989.615
54,1989.623
55,1989.738
56,1989.738
57,1989.813
58,1989.813
59,1989.952
60,1990.077
61,1990.077
62,1990.205
63,1990.205
64,1990.328
65,1990.349
66,1990.349
67,1990.372
68,1990.372
69,1990.383
70,1990.439
71,1990.439
72,1990.599
73,1990.698
74,1990.698
75,1990.701
76,1990.701
77,1990.709
78,1990.778
79,1990.778
80,1990.808
81,1990.808
82,1990.939
83,1991.153
84,1991.153
85,1991.281
86,1991.281
87,1991.508
88,1991.539
89,1991.539
90,1991.554
91,1992.037
92,1992.037
93,1992.328
94,1992.328
95,1992.387
96,1993.987
97,1993.987
98,1994.020
99,1994.020
100,1994.020
