Percentage served,Time in ms
0,1848.517
1,1851.759
2,1851.759
3,1852.133
4,1852.174
5,1852.174
6,1852.685
7,1852.685
8,1853.003
9,1853.752
10,1853.752
11,1853.814
12,1854.516
13,1854.516
14,1857.332
15,1857.332
16,1861.686
17,1863.040
18,1863.040
19,1872.911
20,1885.066
21,1885.066
22,1886.871
23,1886.871
24,1887.123
25,1887.868
26,1887.868
27,1887.942
28,1888.191
29,1888.191
30,1889.115
31,1889.358
32,1889.358
33,1890.100
34,1890.100
35,1890.398
36,1890.449
37,1890.449
38,1890.557
39,1891.191
40,1891.191
41,1891.215
42,1891.215
43,1891.240
44,1891.255
45,1891.255
46,1891.393
47,1891.523
48,1891.523
49,1891.666
50,1891.896
51,1891.896
52,1892.022
53,1892.022
54,1892.036
55,1892.241
56,1892.241
57,1893.595
58,1893.733
59,1893.733
60,1893.878
61,1893.878
62,1894.871
63,1894.949
64,1894.949
65,1895.225
66,1895.349
67,1895.349
68,1895.794
69,1895.794
70,1895.946
71,1895.981
72,1895.981
73,1896.146
74,1896.318
75,1896.318
76,1896.340
77,1896.709
78,1896.709
79,1897.173
80,1897.173
81,1900.876
82,1901.156
83,1901.156
84,1903.642
85,2049.949
86,2049.949
87,2050.233
88,2050.233
89,2051.129
90,2051.431
91,2051.431
92,2051.591
93,2053.437
94,2053.437
95,2054.977
96,2054.977
97,2056.160
98,2057.897
99,2057.897
100,2057.897
