Percentage served,Time in ms
0,1051.710
1,1051.771
2,1051.805
3,1052.250
4,1052.406
5,1052.479
6,1052.590
7,1052.623
8,1052.628
9,1052.763
10,1052.781
11,1052.793
12,1053.119
13,1053.161
14,1053.161
15,1053.249
16,1053.266
17,1053.270
18,1053.442
19,1053.454
20,1053.667
21,1053.881
22,1053.964
23,1054.003
24,1054.092
25,1054.368
26,1054.567
27,1054.589
28,1054.635
29,1054.770
30,1054.886
31,1054.892
32,1054.903
33,1054.952
34,1055.027
35,1055.069
36,1055.141
37,1055.146
38,1055.198
39,1055.280
40,1055.339
41,1055.353
42,1055.405
43,1055.527
44,1055.541
45,1055.545
46,1055.630
47,1055.671
48,1055.674
49,1055.734
50,1055.790
51,1055.903
52,1055.925
53,1056.021
54,1056.088
55,1056.331
56,1056.429
57,1056.452
58,1056.817
59,1056.853
60,1056.856
61,1057.101
62,1057.278
63,1057.397
64,1057.427
65,1057.617
66,1058.142
67,1058.709
68,1058.820
69,1058.849
70,1059.128
71,1059.236
72,1059.663
73,1059.897
74,1060.081
75,1060.151
76,1060.345
77,1060.353
78,1060.370
79,1060.516
80,1060.693
81,1061.303
82,1061.357
83,1061.864
84,1061.883
85,1061.892
86,1061.921
87,1062.086
88,1062.223
89,1063.003
90,1064.609
91,1064.960
92,1065.709
93,1065.969
94,1068.557
95,1068.849
96,1069.160
97,1075.598
98,1079.681
99,1080.094
100,1080.094
