Percentage served,Time in ms
0,1791.050
1,1791.208
2,1791.208
3,1791.852
4,1791.852
5,1792.095
6,1793.034
7,1793.034
8,1795.219
9,1795.219
10,1795.300
11,1795.689
12,1795.689
13,1796.051
14,1987.545
15,1987.545
16,1987.720
17,1987.720
18,1987.731
19,1987.805
20,1987.805
21,1987.855
22,1987.855
23,1987.944
24,1987.957
25,1987.957
26,1988.117
27,1988.117
28,1988.317
29,1988.329
30,1988.329
31,1988.381
32,1988.386
33,1988.386
34,1988.422
35,1988.422
36,1988.445
37,1988.484
38,1988.484
39,1988.525
40,1988.525
41,1988.536
42,1989.084
43,1989.084
44,1989.085
45,1989.085
46,1989.138
47,1989.159
48,1989.159
49,1989.524
50,1989.798
51,1989.798
52,1990.328
53,1990.328
54,1991.756
55,1991.874
56,1991.874
57,1991.997
58,1991.997
59,1992.173
60,1992.259
61,1992.259
62,1992.321
63,1992.321
64,1992.416
65,1992.629
66,1992.629
67,1992.768
68,1992.768
69,1992.770
70,1992.810
71,1992.810
72,1992.850
73,1992.897
74,1992.897
75,1993.199
76,1993.199
77,1993.510
78,1993.615
79,1993.615
80,1993.916
81,1993.916
82,1993.960
83,1994.012
84,1994.012
85,1994.519
86,1994.519
87,1995.030
88,1995.102
89,1995.102
90,1995.107
91,1995.125
92,1995.125
93,1995.295
94,1995.295
95,1995.399
96,1995.725
97,1995.725
98,1996.797
99,1996.797
100,1996.797
