Percentage served,Time in ms
0,1194.239
1,1194.240
2,1194.259
3,1194.274
4,1194.311
5,1194.335
6,1194.388
7,1194.474
8,1194.544
9,1194.563
10,1194.564
11,1194.625
12,1194.630
13,1194.650
14,1194.668
15,1194.672
16,1194.683
17,1194.798
18,1194.803
19,1194.812
20,1194.827
21,1194.848
22,1194.857
23,1194.877
24,1194.885
25,1194.895
26,1194.911
27,1194.919
28,1194.937
29,1194.969
30,1194.979
31,1195.145
32,1195.155
33,1195.164
34,1195.171
35,1195.239
36,1195.250
37,1195.286
38,1195.301
39,1195.387
40,1195.939
41,1196.516
42,1196.521
43,1196.644
44,1196.667
45,1196.680
46,1196.766
47,1196.914
48,1196.928
49,1196.930
50,1196.936
51,1197.006
52,1197.076
53,1197.105
54,1197.108
55,1197.129
56,1197.202
57,1197.212
58,1197.230
59,1197.263
60,1197.319
61,1197.323
62,1197.347
63,1197.417
64,1197.424
65,1197.454
66,1197.466
67,1197.472
68,1197.501
69,1197.501
70,1197.517
71,1197.552
72,1197.598
73,1197.665
74,1197.716
75,1197.720
76,1197.770
77,1197.840
78,1197.861
79,1197.955
80,1197.968
81,1198.040
82,1198.291
83,1198.300
84,1198.457
85,1199.600
86,1199.654
87,1199.924
88,1200.220
89,1200.790
90,1200.794
91,1201.137
92,1201.535
93,1202.519
94,1207.727
95,1207.887
96,1209.135
97,1210.091
98,1210.156
99,1216.636
100,1216.636
