Percentage served,Time in ms
0,1193.051
1,1193.272
2,1193.425
3,1193.509
4,1194.047
5,1194.059
6,1194.469
7,1195.273
8,1195.565
9,1195.578
10,1195.671
11,1195.726
12,1195.855
13,1195.860
14,1196.426
15,1196.515
16,1196.628
17,1196.628
18,1196.638
19,1196.731
20,1196.851
21,1196.948
22,1197.561
23,1199.078
24,1199.880
25,1200.851
26,1233.039
27,1234.062
28,1234.143
29,1234.301
30,1234.332
31,1234.364
32,1234.388
33,1234.777
34,1234.863
35,1234.938
36,1234.962
37,1235.014
38,1235.083
39,1235.123
40,1235.225
41,1235.261
42,1235.581
43,1235.625
44,1235.640
45,1235.772
46,1235.789
47,1235.824
48,1235.845
49,1235.858
50,1235.874
51,1235.874
52,1235.892
53,1235.907
54,1235.919
55,1235.923
56,1235.963
57,1235.978
58,1236.001
59,1236.011
60,1236.044
61,1236.059
62,1236.061
63,1236.112
64,1236.129
65,1236.145
66,1236.158
67,1236.223
68,1236.289
69,1236.401
70,1236.415
71,1236.460
72,1236.576
73,1236.665
74,1236.679
75,1236.815
76,1236.897
77,1237.465
78,1237.573
79,1237.768
80,1238.154
81,1239.197
82,1239.205
83,1239.206
84,1239.206
85,1239.645
86,1239.647
87,1239.800
88,1239.848
89,1239.866
90,1240.005
91,1240.019
92,1240.837
93,1242.324
94,1242.832
95,1243.055
96,1243.314
97,1243.390
98,1394.550
99,1820.554
100,1820.554
