Percentage served,Time in ms
0,1789.323
1,1789.377
2,1789.377
3,1789.679
4,1789.695
5,1789.695
6,1789.709
7,1789.791
8,1789.791
9,1789.875
10,1790.004
11,1790.004
12,1790.360
13,1790.383
14,1790.383
15,1790.409
16,1790.491
17,1790.491
18,1790.938
19,1790.990
20,1790.990
21,1791.014
22,1791.119
23,1791.119
24,1791.479
25,1792.768
26,1792.768
27,1792.807
28,1792.807
29,1792.820
30,1793.027
31,1793.027
32,1793.052
33,1793.342
34,1793.342
35,1793.421
36,1793.522
37,1793.522
38,1793.609
39,1793.712
40,1793.712
41,1793.822
42,1793.939
43,1793.939
44,1794.139
45,1794.151
46,1794.151
47,1794.241
48,1794.745
49,1794.745
50,1794.877
51,1794.922
52,1794.922
53,1795.120
54,1795.122
55,1795.122
56,1795.166
57,1795.254
58,1795.254
59,1795.688
60,1797.641
61,1797.641
62,1797.796
63,1799.953
64,1799.953
65,1827.862
66,1830.040
67,1830.040
68,1830.636
69,1830.670
70,1830.670
71,1830.933
72,1831.042
73,1831.042
74,1831.655
75,1832.204
76,1832.204
77,1832.878
78,1832.878
79,1833.632
80,1833.857
81,1833.857
82,1833.875
83,1834.008
84,1834.008
85,1834.382
86,1834.567
87,1834.567
88,1834.604
89,1834.720
90,1834.720
91,1839.700
92,1990.158
93,1990.158
94,1990.187
95,1990.858
96,1990.858
97,1991.621
98,1992.205
99,1992.205
100,1992.205
