Percentage served,Time in ms
0,1051.451
1,1051.541
2,1051.622
3,1051.977
4,1052.325
5,1052.359
6,1052.423
7,1052.483
8,1052.509
9,1052.728
10,1052.781
11,1052.787
12,1052.936
13,1052.955
14,1052.992
15,1053.043
16,1053.052
17,1053.058
18,1053.099
19,1053.233
20,1053.254
21,1053.287
22,1053.293
23,1053.423
24,1053.432
25,1053.493
26,1053.551
27,1053.669
28,1053.685
29,1053.718
30,1053.745
31,1053.809
32,1053.828
33,1053.831
34,1054.000
35,1054.277
36,1054.279
37,1054.405
38,1054.409
39,1054.419
40,1054.549
41,1054.559
42,1054.632
43,1054.763
44,1054.784
45,1054.785
46,1054.806
47,1054.809
48,1054.818
49,1054.857
50,1054.880
51,1054.920
52,1054.989
53,1055.091
54,1055.130
55,1055.169
56,1055.250
57,1055.270
58,1055.298
59,1055.303
60,1055.325
61,1055.346
62,1055.482
63,1055.490
64,1055.513
65,1055.627
66,1055.722
67,1055.774
68,1055.810
69,1056.130
70,1056.231
71,1056.244
72,1056.515
73,1056.733
74,1056.900
75,1056.936
76,1056.965
77,1056.986
78,1057.095
79,1057.206
80,1057.245
81,1057.311
82,1057.907
83,1058.276
84,1058.372
85,1058.453
86,1058.578
87,1059.383
88,1059.667
89,1060.216
90,1061.466
91,1061.544
92,1061.642
93,1062.021
94,1065.052
95,1065.480
96,1069.511
97,1079.382
98,1080.872
99,1084.828
100,1084.828
