Percentage served,Time in ms
0,1848.653
1,1849.621
2,1849.621
3,1850.918
4,1851.952
5,1851.952
6,1851.996
7,1851.996
8,1852.182
9,1853.638
10,1853.638
11,1853.640
12,1854.153
13,1854.153
14,1854.796
15,1854.796
16,1855.541
17,1866.427
18,1866.427
19,1885.377
20,1885.859
21,1885.859
22,1887.531
23,1887.531
24,1887.578
25,1887.848
26,1887.848
27,1887.862
28,1888.031
29,1888.031
30,1888.080
31,1888.381
32,1888.381
33,1889.418
34,1889.418
35,1889.804
36,1889.804
37,1889.804
38,1890.006
39,1890.148
40,1890.148
41,1890.183
42,1890.183
43,1890.847
44,1890.945
45,1890.945
46,1891.296
47,1891.380
48,1891.380
49,1892.482
50,1892.584
51,1892.584
52,1892.861
53,1892.861
54,1893.116
55,1893.520
56,1893.520
57,1893.739
58,1894.275
59,1894.275
60,1894.479
61,1894.479
62,1894.539
63,1894.563
64,1894.563
65,1895.610
66,1895.692
67,1895.692
68,1896.404
69,1896.404
70,1896.723
71,1896.753
72,1896.753
73,1897.114
74,1897.278
75,1897.278
76,1897.783
77,1897.994
78,1897.994
79,1898.173
80,1898.173
81,1898.790
82,1898.928
83,1898.928
84,1902.279
85,1904.060
86,1904.060
87,2044.511
88,2044.511
89,2049.414
90,2050.083
91,2050.083
92,2051.084
93,2053.772
94,2053.772
95,2054.241
96,2054.241
97,2062.995
98,2092.582
99,2092.582
100,2092.582
