Percentage served,Time in ms
0,1792.030
1,1792.251
2,1792.251
3,1795.030
4,1795.030
5,1987.081
6,1987.168
7,1987.168
8,1987.238
9,1987.238
10,1987.666
11,1987.733
12,1987.733
13,1987.840
14,1987.848
15,1987.848
16,1987.955
17,1987.955
18,1987.977
19,1988.129
20,1988.129
21,1988.154
22,1988.154
23,1988.208
24,1988.210
25,1988.210
26,1988.303
27,1988.303
28,1988.342
29,1988.422
30,1988.422
31,1988.432
32,1988.718
33,1988.718
34,1988.731
35,1988.731
36,1988.796
37,1988.805
38,1988.805
39,1988.876
40,1988.876
41,1988.882
42,1988.943
43,1988.943
44,1988.994
45,1988.994
46,1989.039
47,1989.085
48,1989.085
49,1989.119
50,1989.259
51,1989.259
52,1989.614
53,1989.614
54,1989.961
55,1990.157
56,1990.157
57,1990.978
58,1990.978
59,1991.438
60,1991.685
61,1991.685
62,1991.723
63,1991.723
64,1991.908
65,1992.208
66,1992.208
67,1992.286
68,1992.286
69,1992.446
70,1992.549
71,1992.549
72,1992.554
73,1992.571
74,1992.571
75,1992.721
76,1992.721
77,1992.745
78,1992.852
79,1992.852
80,1992.903
81,1992.903
82,1992.925
83,1992.942
84,1992.942
85,1993.019
86,1993.019
87,1993.165
88,1993.186
89,1993.186
90,1993.336
91,1993.403
92,1993.403
93,1993.420
94,1993.420
95,1993.663
96,1994.162
97,1994.162
98,1995.169
99,1995.169
100,1995.169
