Percentage served,Time in ms
0,1193.904
1,1193.985
2,1194.101
3,1194.119
4,1194.133
5,1194.192
6,1194.281
7,1194.348
8,1194.371
9,1194.415
10,1194.415
11,1194.434
12,1194.477
13,1194.484
14,1194.486
15,1194.516
16,1194.550
17,1194.574
18,1194.609
19,1194.658
20,1194.729
21,1194.734
22,1194.749
23,1194.782
24,1194.817
25,1194.841
26,1194.844
27,1194.845
28,1194.899
29,1194.940
30,1195.000
31,1195.044
32,1195.054
33,1195.062
34,1195.090
35,1195.146
36,1195.150
37,1195.179
38,1195.201
39,1195.203
40,1195.315
41,1195.338
42,1195.339
43,1195.371
44,1195.407
45,1195.424
46,1195.427
47,1195.554
48,1195.713
49,1195.961
50,1196.050
51,1196.064
52,1196.227
53,1196.700
54,1196.706
55,1196.792
56,1196.870
57,1196.889
58,1196.931
59,1196.938
60,1196.940
61,1196.959
62,1196.997
63,1197.004
64,1197.028
65,1197.042
66,1197.058
67,1197.114
68,1197.179
69,1197.240
70,1197.251
71,1197.277
72,1197.300
73,1197.311
74,1197.313
75,1197.367
76,1197.392
77,1197.407
78,1197.462
79,1197.505
80,1197.518
81,1197.551
82,1197.601
83,1197.649
84,1197.667
85,1197.731
86,1197.737
87,1197.741
88,1197.764
89,1197.842
90,1197.901
91,1198.059
92,1198.066
93,1198.265
94,1198.285
95,1198.733
96,1199.271
97,1199.905
98,1200.204
99,1205.129
100,1205.129
