Percentage served,Time in ms
0,1789.188
1,1789.450
2,1789.450
3,1789.474
4,1789.483
5,1789.483
6,1789.560
7,1789.614
8,1789.614
9,1789.680
10,1789.683
11,1789.683
12,1789.735
13,1789.775
14,1789.775
15,1789.882
16,1789.975
17,1789.975
18,1789.977
19,1789.983
20,1789.983
21,1789.984
22,1790.119
23,1790.119
24,1790.235
25,1790.315
26,1790.315
27,1790.346
28,1790.369
29,1790.369
30,1790.393
31,1790.416
32,1790.416
33,1790.527
34,1790.586
35,1790.586
36,1790.598
37,1790.602
38,1790.602
39,1790.607
40,1790.995
41,1790.995
42,1791.125
43,1791.461
44,1791.461
45,1791.729
46,1792.174
47,1792.174
48,1792.622
49,1792.666
50,1792.863
51,1792.863
52,1792.913
53,1792.952
54,1792.952
55,1793.041
56,1793.119
57,1793.119
58,1793.220
59,1793.274
60,1793.274
61,1793.283
62,1793.357
63,1793.357
64,1793.432
65,1793.505
66,1793.505
67,1793.604
68,1793.776
69,1793.776
70,1793.828
71,1793.926
72,1793.926
73,1794.156
74,1794.166
75,1794.166
76,1794.219
77,1794.294
78,1794.294
79,1794.584
80,1794.699
81,1794.699
82,1828.697
83,1829.208
84,1829.208
85,1830.860
86,1832.088
87,1832.088
88,1832.510
89,1832.608
90,1832.608
91,1834.305
92,1834.324
93,1834.324
94,1841.384
95,1988.107
96,1988.107
97,1991.920
98,2000.396
99,2000.396
100,2000.396
