Percentage served,Time in ms
0,797.315
1,797.484
2,797.488
3,797.602
4,797.621
5,797.677
6,797.701
7,797.726
8,797.732
9,797.740
10,797.748
11,797.776
12,797.781
13,797.806
14,797.807
15,797.846
16,797.865
17,797.876
18,797.884
19,797.901
20,797.902
21,798.001
22,798.008
23,798.015
24,798.017
25,798.022
26,798.028
27,798.042
28,798.071
29,798.093
30,798.100
31,798.121
32,798.165
33,798.206
34,798.217
35,798.249
36,798.264
37,798.293
38,798.299
39,798.364
40,798.396
41,798.490
42,798.509
43,798.604
44,798.730
45,798.875
46,798.881
47,799.012
48,799.014
49,799.084
50,799.130
51,799.146
52,799.219
53,799.237
54,799.304
55,799.388
56,799.396
57,799.401
58,799.401
59,799.435
60,799.491
61,799.551
62,799.555
63,799.643
64,799.649
65,799.687
66,799.696
67,799.714
68,799.727
69,799.731
70,799.731
71,799.799
72,799.813
73,799.842
74,799.850
75,799.928
76,799.955
77,799.982
78,800.006
79,800.051
80,800.073
81,800.083
82,800.099
83,800.201
84,800.210
85,800.299
86,800.370
87,800.453
88,800.500
89,800.616
90,800.684
91,800.853
92,800.919
93,801.058
94,801.096
95,801.233
96,801.274
97,802.750
98,804.691
99,806.279
100,806.279
