Percentage served,Time in ms
0,1986.459
1,1986.647
2,1986.647
3,1987.020
4,1987.020
5,1987.093
6,1987.267
7,1987.267
8,1987.284
9,1987.284
10,1987.292
11,1987.297
12,1987.297
13,1987.391
14,1987.398
15,1987.398
16,1987.440
17,1987.440
18,1987.754
19,1987.790
20,1987.790
21,1987.795
22,1987.795
23,1987.823
24,1987.887
25,1987.887
26,1987.923
27,1987.923
28,1987.956
29,1987.962
30,1987.962
31,1988.032
32,1988.066
33,1988.066
34,1988.090
35,1988.090
36,1988.097
37,1988.189
38,1988.189
39,1988.223
40,1988.223
41,1988.301
42,1988.309
43,1988.309
44,1988.430
45,1988.430
46,1988.491
47,1988.672
48,1988.672
49,1988.827
50,1989.057
51,1989.057
52,1990.458
53,1990.458
54,1990.872
55,1991.004
56,1991.004
57,1991.123
58,1991.123
59,1991.396
60,1991.406
61,1991.406
62,1991.521
63,1991.521
64,1991.765
65,1991.918
66,1991.918
67,1991.964
68,1991.964
69,1992.000
70,1992.028
71,1992.028
72,1992.087
73,1992.121
74,1992.121
75,1992.124
76,1992.124
77,1992.132
78,1992.316
79,1992.316
80,1992.414
81,1992.414
82,1992.434
83,1992.755
84,1992.755
85,1992.906
86,1992.906
87,1992.925
88,1992.938
89,1992.938
90,1992.967
91,1993.153
92,1993.153
93,1993.187
94,1993.187
95,1993.297
96,1993.763
97,1993.763
98,1996.725
99,1996.725
100,1996.725
