Percentage served,Time in ms
0,1791.110
1,1791.149
2,1791.149
3,1791.400
4,1791.419
5,1791.419
6,1791.419
7,1791.423
8,1791.423
9,1791.473
10,1791.502
11,1791.502
12,1791.516
13,1791.516
14,1791.566
15,1791.863
16,1791.863
17,1791.988
18,1792.156
19,1792.156
20,1792.181
21,1792.259
22,1792.259
23,1792.392
24,1792.402
25,1792.402
26,1792.439
27,1792.611
28,1792.611
29,1792.979
30,1794.599
31,1794.599
32,1794.917
33,1794.917
34,1794.983
35,1795.136
36,1795.136
37,1795.420
38,1795.621
39,1795.621
40,1795.746
41,1796.308
42,1796.308
43,1796.442
44,1796.521
45,1796.521
46,1796.841
47,1796.846
48,1796.846
49,1796.851
50,1796.895
51,1796.895
52,1797.151
53,1797.151
54,1797.546
55,1797.648
56,1797.648
57,1798.265
58,1830.903
59,1830.903
60,1832.366
61,1832.469
62,1832.469
63,1832.475
64,1832.679
65,1832.679
66,1832.954
67,1833.282
68,1833.282
69,1833.491
70,1834.285
71,1834.285
72,1834.638
73,1834.638
74,1834.989
75,1836.648
76,1836.648
77,1836.667
78,1837.316
79,1837.316
80,1842.047
81,1987.410
82,1987.410
83,1987.693
84,1988.105
85,1988.105
86,1988.930
87,1990.783
88,1990.783
89,1991.916
90,1992.147
91,1992.147
92,1992.976
93,1992.976
94,1993.658
95,1993.711
96,1993.711
97,1994.045
98,2607.076
99,2607.076
100,2607.076
