Percentage served,Time in ms
0,797.476
1,797.527
2,797.844
3,797.897
4,797.905
5,797.918
6,797.971
7,797.971
8,798.069
9,798.069
10,798.129
11,798.131
12,798.255
13,798.266
14,798.279
15,798.283
16,798.331
17,798.332
18,798.395
19,798.401
20,798.436
21,798.568
22,798.593
23,798.608
24,798.669
25,798.704
26,798.718
27,798.725
28,798.744
29,798.773
30,798.807
31,798.836
32,798.849
33,798.853
34,798.918
35,798.937
36,798.985
37,798.994
38,799.048
39,799.067
40,799.083
41,799.146
42,799.194
43,799.198
44,799.283
45,799.306
46,799.402
47,799.494
48,799.533
49,799.535
50,799.700
51,799.712
52,799.718
53,799.771
54,799.853
55,799.873
56,799.884
57,799.906
58,799.928
59,799.961
60,800.059
61,800.127
62,800.185
63,800.193
64,800.208
65,800.288
66,800.302
67,800.315
68,800.361
69,800.367
70,800.380
71,800.394
72,800.419
73,800.484
74,800.490
75,800.533
76,800.539
77,800.577
78,800.626
79,800.649
80,800.678
81,800.790
82,800.811
83,800.862
84,800.895
85,800.944
86,800.974
87,801.013
88,801.027
89,801.083
90,801.163
91,801.320
92,801.379
93,801.533
94,801.562
95,801.937
96,801.948
97,802.191
98,802.761
99,1412.283
100,1412.283
