Percentage served,Time in ms
0,1911.494
1,1914.476
2,1914.476
3,1918.467
4,1918.467
5,1920.497
6,1924.797
7,1924.797
8,1944.803
9,1944.803
10,1946.843
11,1947.524
12,1947.524
13,1947.581
14,1947.674
15,1947.674
16,1947.763
17,1947.763
18,1947.848
19,1948.149
20,1948.149
21,1948.620
22,1948.620
23,1948.649
24,1949.376
25,1949.376
26,1949.447
27,1949.447
28,1949.887
29,1950.324
30,1950.324
31,1951.520
32,1951.688
33,1951.688
34,1951.695
35,1951.695
36,1951.839
37,1951.847
38,1951.847
39,1951.909
40,1951.909
41,1952.311
42,1952.825
43,1952.825
44,1952.895
45,1952.895
46,1953.200
47,1953.504
48,1953.504
49,1953.683
50,1953.916
51,1953.916
52,1954.305
53,1954.305
54,1955.425
55,1955.686
56,1955.686
57,1955.955
58,1955.955
59,1956.397
60,1956.916
61,1956.916
62,1957.372
63,1957.372
64,1957.731
65,1958.426
66,1958.426
67,1958.517
68,1958.517
69,1959.925
70,1960.265
71,1960.265
72,1961.243
73,1961.337
74,1961.337
75,1961.565
76,1961.565
77,1962.622
78,1962.688
79,1962.688
80,1962.951
81,1962.951
82,1963.406
83,1963.799
84,1963.799
85,1968.027
86,1968.027
87,1970.897
88,1976.613
89,1976.613
90,2104.799
91,2108.929
92,2108.929
93,2110.545
94,2110.545
95,2113.028
96,2113.264
97,2113.264
98,2138.351
99,2138.351
100,2138.351
