Percentage served,Time in ms
0,1110.038
1,1110.371
2,1111.291
3,1111.393
4,1111.720
5,1112.088
6,1112.263
7,1112.323
8,1112.486
9,1113.030
10,1113.140
11,1113.265
12,1113.453
13,1113.563
14,1113.590
15,1113.668
16,1113.740
17,1113.966
18,1114.369
19,1114.434
20,1114.621
21,1114.670
22,1114.740
23,1115.181
24,1115.308
25,1115.798
26,1115.857
27,1116.019
28,1116.359
29,1116.507
30,1116.517
31,1116.533
32,1116.545
33,1116.571
34,1117.121
35,1117.222
36,1118.223
37,1118.769
38,1119.485
39,1119.585
40,1119.711
41,1119.734
42,1121.496
43,1122.137
44,1123.702
45,1124.090
46,1124.604
47,1125.200
48,1125.340
49,1125.382
50,1125.449
51,1125.836
52,1125.950
53,1126.092
54,1126.729
55,1127.175
56,1127.200
57,1127.335
58,1128.021
59,1129.286
60,1129.327
61,1129.669
62,1129.669
63,1129.778
64,1130.282
65,1131.224
66,1131.745
67,1131.795
68,1131.799
69,1132.027
70,1132.710
71,1132.925
72,1133.267
73,1133.506
74,1134.160
75,1134.665
76,1135.901
77,1136.340
78,1136.508
79,1137.467
80,1137.845
81,1137.851
82,1137.886
83,1140.003
84,1140.830
85,1141.242
86,1141.471
87,1141.746
88,1141.999
89,1142.034
90,1142.418
91,1142.964
92,1146.410
93,1147.052
94,1147.053
95,1149.144
96,1150.535
97,1176.564
98,1179.504
99,1182.996
100,1182.996
